game_date,home_team,away_team,snapshot_time,commence_time,game_id,ml_away,ml_home,num_books,scraped_at,season,source,source_file,source_system,source_type,spread_home,spread_home_juice,total,total_over_juice
2026-07-10,Atlanta Dream,Portland Fire,2026-07-11T20:00:00Z,2026-07-11T20:00:00Z,9f2c4d943190edd1073d4cd6760fcf8c,487.5,-723.25,11,2026-07-11T02:02:26.936363+00:00,2026,the-odds-api,odds_2026-07-10.csv|odds_historical.csv,repository_raw,odds_2026_07_10|odds_historical,-12.0,-112.45,172.55,-110.45
2026-07-10,Las Vegas Aces,Phoenix Mercury,2026-07-11T22:00:00Z,2026-07-11T22:00:00Z,dbbae9c1944a4874fe492f9fe23d8f62,337.5,-451.38,11,2026-07-11T02:02:26.936390+00:00,2026,the-odds-api,odds_2026-07-10.csv|odds_historical.csv,repository_raw,odds_2026_07_10|odds_historical,-9.5,-109.45,171.95,-109.09
2026-07-10,Los Angeles Sparks,Chicago Sky,2026-07-11T02:10:00Z,2026-07-11T02:10:00Z,14c1ed8012d1c1a70778c1d1aa348e83,48.27,-124.64,11,2026-07-11T02:02:26.936294+00:00,2026,the-odds-api,odds_2026-07-10.csv|odds_historical.csv,repository_raw,odds_2026_07_10|odds_historical,-1.35,-88.6,177.45,-109.27
2026-07-10,Minnesota Lynx,New York Liberty,2026-07-11T17:00:00Z,2026-07-11T17:00:00Z,93c27f5318a98fdd2a9bfbc42269f134,163.67,-200.17,10,2026-07-11T02:02:26.936336+00:00,2026,the-odds-api,odds_2026-07-10.csv|odds_historical.csv,repository_raw,odds_2026_07_10|odds_historical,-4.75,-112.3,174.95,-111.4
2026-07-11,Atlanta Dream,Portland Fire,2026-07-11T20:00:00Z,2026-07-11T20:00:00Z,9f2c4d943190edd1073d4cd6760fcf8c,519.91,-766.0,11,2026-07-11T19:51:52.152090+00:00,2026,the-odds-api,odds_2026-07-11.csv|odds_historical.csv,repository_raw,odds_2026_07_11|odds_historical,-12.5,-111.27,173.73,-109.55
2026-07-11,Dallas Wings,Chicago Sky,2026-07-12T23:00:00Z,2026-07-12T23:00:00Z,15504ed1a378321542911fbfb7a49591,325.75,-427.5,7,2026-07-11T19:51:52.152172+00:00,2026,the-odds-api,odds_2026-07-11.csv|odds_historical.csv,repository_raw,odds_2026_07_11|odds_historical,-9.5,-109.71,176.93,-109.71
2026-07-11,Las Vegas Aces,Phoenix Mercury,2026-07-11T22:00:00Z,2026-07-11T22:00:00Z,dbbae9c1944a4874fe492f9fe23d8f62,280.09,-359.09,11,2026-07-11T19:51:52.152133+00:00,2026,the-odds-api,odds_2026-07-11.csv|odds_historical.csv,repository_raw,odds_2026_07_11|odds_historical,-8.32,-107.73,169.18,-70.91
2026-07-11,Washington Mystics,Seattle Storm,2026-07-12T19:00:00Z,2026-07-12T19:00:00Z,a82c548dd13bf0b9134cd20a43ac88de,130.0,-156.25,7,2026-07-11T19:51:52.152153+00:00,2026,the-odds-api,odds_2026-07-11.csv|odds_historical.csv,repository_raw,odds_2026_07_11|odds_historical,-3.5,-109.71,159.71,-106.86
2026-07-12,Atlanta Dream,Los Angeles Sparks,2026-07-13T23:10:00Z,2026-07-13T23:10:00Z,59e806dd41a1cdd33be91c732ab446be,267.25,-339.38,8,2026-07-12T14:38:33.111010+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,-8.12,-108.5,178.88,-111.5
2026-07-12,Dallas Wings,Chicago Sky,2026-07-12T23:00:00Z,2026-07-12T23:00:00Z,15504ed1a378321542911fbfb7a49591,339.55,-450.55,11,2026-07-12T14:38:33.110957+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,-9.64,-111.64,178.55,-107.73
2026-07-12,Las Vegas Aces,Indiana Fever,2026-07-13T01:00:00Z,2026-07-13T01:00:00Z,7a7ba7018aa8c14997cbbcb0170fe203,154.09,-184.82,11,2026-07-12T14:38:33.110986+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,-4.41,-108.0,181.73,-111.09
2026-07-12,Minnesota Lynx,Phoenix Mercury,2026-07-14T01:10:00Z,2026-07-14T01:10:00Z,089163a3a05d1b2e8028fab27ad5605f,477.75,-686.88,8,2026-07-12T14:38:33.111033+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,-11.88,-111.25,168.75,-110.88
2026-07-12,Toronto Tempo,New York Liberty,2026-07-12T19:00:00Z,2026-07-12T19:00:00Z,a11188d43bce66a788fd84b4a10dc19b,-278.27,223.45,11,2026-07-12T14:38:33.110882+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,6.73,-107.73,177.55,-111.09
2026-07-12,Washington Mystics,Seattle Storm,2026-07-12T19:00:00Z,2026-07-12T19:00:00Z,a82c548dd13bf0b9134cd20a43ac88de,181.09,-221.09,11,2026-07-12T14:38:33.110927+00:00,2026,the-odds-api,odds_2026-07-12.csv|odds_historical.csv,repository_raw,odds_2026_07_12|odds_historical,-5.5,-110.09,162.27,-107.55
2026-07-13,Atlanta Dream,Los Angeles Sparks,2026-07-13T23:00:00Z,2026-07-13T23:00:00Z,59e806dd41a1cdd33be91c732ab446be,277.73,-355.0,11,2026-07-13T15:56:06.745310+00:00,2026,the-odds-api,odds_2026-07-13.csv|odds_historical.csv,repository_raw,odds_2026_07_13|odds_historical,-8.5,-108.45,180.86,-111.18
2026-07-13,Connecticut Sun,Portland Fire,2026-07-14T15:10:00Z,2026-07-14T15:10:00Z,c2ecfa7d05172b4ecf75b85d53482efe,-52.75,-118.5,8,2026-07-13T15:56:06.745376+00:00,2026,the-odds-api,odds_2026-07-13.csv|odds_historical.csv,repository_raw,odds_2026_07_13|odds_historical,-0.81,-109.75,166.94,-110.88
2026-07-13,Minnesota Lynx,Phoenix Mercury,2026-07-14T01:00:00Z,2026-07-14T01:00:00Z,089163a3a05d1b2e8028fab27ad5605f,524.36,-771.55,11,2026-07-13T15:56:06.745354+00:00,2026,the-odds-api,odds_2026-07-13.csv|odds_historical.csv,repository_raw,odds_2026_07_13|odds_historical,-12.45,-107.55,169.64,-110.64
2026-07-13,Toronto Tempo,Washington Mystics,2026-07-14T23:10:00Z,2026-07-14T23:10:00Z,d6adc93ae6db516941aa0c9eabe442fd,-63.75,-6.75,8,2026-07-13T15:56:06.745397+00:00,2026,the-odds-api,odds_2026-07-13.csv|odds_historical.csv,repository_raw,odds_2026_07_13|odds_historical,1.06,-113.12,170.38,-109.75
2026-07-14,Chicago Sky,Seattle Storm,2026-07-15T16:10:00Z,2026-07-15T16:10:00Z,dd23179c4373849ae1da8476ec21def3,135.33,-165.0,7,2026-07-14T15:04:20.094057+00:00,2026,the-odds-api,odds_2026-07-14.csv|odds_historical.csv,repository_raw,odds_2026_07_14|odds_historical,-3.5,-110.14,170.93,-110.29
2026-07-14,Connecticut Sun,Portland Fire,2026-07-14T15:02:53Z,2026-07-14T15:02:53Z,c2ecfa7d05172b4ecf75b85d53482efe,122.45,-153.73,11,2026-07-14T15:04:20.094010+00:00,2026,the-odds-api,odds_2026-07-14.csv|odds_historical.csv,repository_raw,odds_2026_07_14|odds_historical,-2.86,-113.64,167.82,-94.36
2026-07-14,Indiana Fever,Golden State Valkyries,2026-07-16T00:10:00Z,2026-07-16T00:10:00Z,8eace0d4309db9d618e7ba857166324b,-105.33,-116.0,7,2026-07-14T15:04:20.094081+00:00,2026,the-odds-api,odds_2026-07-14.csv|odds_historical.csv,repository_raw,odds_2026_07_14|odds_historical,-1.5,-105.14,168.93,-109.14
2026-07-14,Minnesota Lynx,Los Angeles Sparks,2026-07-15T17:10:00Z,2026-07-15T17:10:00Z,4db11d33553fba68fc607aaf009071aa,581.67,-903.33,7,2026-07-14T15:04:20.094069+00:00,2026,the-odds-api,odds_2026-07-14.csv|odds_historical.csv,repository_raw,odds_2026_07_14|odds_historical,-12.5,-110.71,181.93,-111.0
2026-07-14,Toronto Tempo,Washington Mystics,2026-07-14T23:10:00Z,2026-07-14T23:10:00Z,d6adc93ae6db516941aa0c9eabe442fd,-130.82,108.91,11,2026-07-14T15:04:20.094043+00:00,2026,the-odds-api,odds_2026-07-14.csv|odds_historical.csv,repository_raw,odds_2026_07_14|odds_historical,1.95,-110.45,172.27,-108.45
2026-07-15,Chicago Sky,Seattle Storm,2026-07-15T16:10:00Z,2026-07-15T16:10:00Z,dd23179c4373849ae1da8476ec21def3,135.09,-161.09,11,2026-07-15T15:02:42.198632+00:00,2026,the-odds-api,odds_2026-07-15.csv|odds_historical.csv,repository_raw,odds_2026_07_15|odds_historical,-3.41,-110.09,171.05,-109.55
