season,team,2p,2p_pct,2pa,3p,3p_pct,3pa,ast,blk,drb,fg,fg_pct,fga,ft,ft_pct,fta,g,mp,orb,pf,pts,rk,source_file,source_system,source_type,stl,tov,trb
2025,Golden State Valkyries*,16.8,0.476,35.3,9.7,0.325,29.9,18.5,2.9,26.6,26.5,0.407,65.2,15.0,0.815,18.4,44,200.6,8.7,17.5,77.7,10.0,team_stats_2025.csv,repository_raw,team_stats,6.8,12.9,35.3
2025,Indiana Fever*,23.1,0.515,44.8,8.3,0.346,24.0,20.6,2.8,24.6,31.4,0.456,68.8,13.8,0.77,18.0,44,200.6,8.8,18.6,84.9,3.0,team_stats_2025.csv,repository_raw,team_stats,7.7,12.8,33.4
2025,Las Vegas Aces*,20.6,0.493,41.8,9.1,0.351,25.9,19.6,4.9,25.4,29.7,0.439,67.6,15.2,0.824,18.5,44,200.0,8.1,16.6,83.6,6.0,team_stats_2025.csv,repository_raw,team_stats,7.5,11.9,33.5
2025,League Average,21.4,0.496,43.1,8.2,0.338,24.2,20.3,3.9,25.5,29.6,0.439,67.4,14.3,0.787,18.2,44,200.5,8.4,17.5,81.7,,team_stats_2025.csv,repository_raw,team_stats,7.4,12.9,33.9
2025,Los Angeles Sparks,22.0,0.531,41.5,8.6,0.337,25.6,20.7,3.1,25.3,30.7,0.457,67.1,15.7,0.769,20.4,44,201.7,8.0,16.9,85.7,2.0,team_stats_2025.csv,repository_raw,team_stats,7.3,14.1,33.3
2025,Minnesota Lynx*,22.5,0.527,42.8,9.6,0.378,25.4,23.3,4.8,25.6,32.1,0.472,68.1,12.2,0.76,16.1,44,200.6,8.5,16.0,86.1,1.0,team_stats_2025.csv,repository_raw,team_stats,8.2,12.1,34.2
2025,New York Liberty*,20.1,0.522,38.5,9.5,0.355,26.8,21.8,4.4,26.9,29.6,0.453,65.3,15.6,0.837,18.7,44,200.0,6.8,16.2,84.4,5.0,team_stats_2025.csv,repository_raw,team_stats,7.6,12.9,33.7
2025,Phoenix Mercury*,20.3,0.496,40.9,9.4,0.34,27.7,20.9,3.7,26.0,29.7,0.433,68.6,13.9,0.784,17.8,44,200.0,8.7,17.8,82.8,7.0,team_stats_2025.csv,repository_raw,team_stats,7.8,12.5,34.7
2025,Seattle Storm*,23.6,0.501,47.1,7.5,0.342,22.1,21.3,5.1,24.0,31.1,0.45,69.2,12.3,0.771,16.0,44,201.1,6.9,17.1,82.1,8.0,team_stats_2025.csv,repository_raw,team_stats,8.5,11.6,30.9
2025,Washington Mystics,22.3,0.48,46.5,5.6,0.329,17.1,19.2,3.2,25.3,28.0,0.439,63.7,15.6,0.754,20.7,44,200.6,7.7,18.2,77.1,11.0,team_stats_2025.csv,repository_raw,team_stats,6.5,14.2,33.0
2026,Atlanta Dream,22.1,0.5,44.1,8.6,0.321,26.6,19.7,2.9,23.6,30.6,0.433,70.7,18.0,0.748,24.0,20,200.0,11.0,19.3,87.7,8.0,team_stats_2026.csv,repository_raw,team_stats,9.5,12.6,34.6
2026,Chicago Sky,23.0,0.495,46.4,7.0,0.309,22.7,20.8,5.4,24.9,30.0,0.434,69.0,19.7,0.759,26.0,20,202.5,8.5,22.2,86.6,9.0,team_stats_2026.csv,repository_raw,team_stats,6.7,12.9,33.4
2026,Connecticut Sun,24.6,0.487,50.6,5.0,0.272,18.4,18.7,4.5,23.7,29.6,0.43,68.9,15.3,0.682,22.4,20,201.3,10.0,23.3,79.5,15.0,team_stats_2026.csv,repository_raw,team_stats,8.3,13.4,33.7
2026,Dallas Wings,25.1,0.525,47.7,8.2,0.333,24.5,22.1,3.3,25.2,33.2,0.46,72.2,13.8,0.779,17.7,20,201.3,8.4,18.6,88.3,6.0,team_stats_2026.csv,repository_raw,team_stats,7.4,10.9,33.6
2026,Golden State Valkyries,17.4,0.461,37.8,10.8,0.35,30.9,18.3,4.3,24.4,28.2,0.411,68.7,15.6,0.762,20.4,20,200.0,9.2,19.7,82.8,12.0,team_stats_2026.csv,repository_raw,team_stats,6.7,10.6,33.5
2026,Indiana Fever,22.5,0.543,41.4,9.8,0.362,27.1,21.2,4.1,26.2,32.3,0.472,68.4,19.6,0.823,23.8,19,202.6,8.1,24.2,93.9,1.0,team_stats_2026.csv,repository_raw,team_stats,6.1,15.2,34.2
2026,Las Vegas Aces,25.3,0.555,45.5,8.3,0.359,23.0,22.7,5.4,27.2,33.5,0.489,68.5,15.8,0.769,20.6,20,201.3,8.1,17.6,91.1,2.0,team_stats_2026.csv,repository_raw,team_stats,7.1,12.4,35.2
2026,League Average,22.1,0.512,43.2,8.5,0.339,25.0,20.3,4.1,24.8,30.6,0.448,68.2,17.0,0.779,21.8,20,201.8,8.6,20.7,86.6,,team_stats_2026.csv,repository_raw,team_stats,7.3,13.3,33.4
2026,Los Angeles Sparks,22.8,0.544,41.9,8.4,0.316,26.6,20.3,3.2,22.3,31.2,0.455,68.4,18.1,0.791,22.8,18,201.4,8.2,21.1,88.8,5.0,team_stats_2026.csv,repository_raw,team_stats,7.3,13.9,30.6
2026,Minnesota Lynx,26.6,0.531,50.0,7.9,0.369,21.3,21.3,4.9,26.9,34.4,0.482,71.3,13.6,0.793,17.2,20,200.0,9.8,19.2,90.3,4.0,team_stats_2026.csv,repository_raw,team_stats,9.0,13.4,36.7
2026,New York Liberty,19.6,0.55,35.6,10.2,0.359,28.4,20.9,4.1,27.3,29.8,0.465,64.0,18.6,0.85,21.9,21,201.2,7.2,19.2,88.3,7.0,team_stats_2026.csv,repository_raw,team_stats,6.1,14.2,34.5
2026,Phoenix Mercury,20.7,0.501,41.4,8.0,0.329,24.5,19.4,3.6,24.3,28.8,0.437,65.9,18.7,0.789,23.7,21,201.2,8.0,18.3,84.2,11.0,team_stats_2026.csv,repository_raw,team_stats,7.7,12.8,32.2
2026,Portland Fire,20.5,0.502,40.8,9.6,0.347,27.7,20.2,4.4,21.2,30.1,0.439,68.4,15.0,0.806,18.6,20,205.0,7.9,23.2,84.7,10.0,team_stats_2026.csv,repository_raw,team_stats,7.4,14.7,29.0
2026,Seattle Storm,19.3,0.478,40.3,8.9,0.348,25.6,19.0,4.6,25.0,28.2,0.428,65.9,15.1,0.799,19.0,21,201.2,7.0,20.0,80.4,14.0,team_stats_2026.csv,repository_raw,team_stats,7.0,14.0,31.9
2026,Toronto Tempo,20.3,0.501,40.6,10.4,0.366,28.3,20.3,3.5,23.6,30.7,0.445,68.9,19.1,0.825,23.1,19,201.3,8.4,22.9,90.8,3.0,team_stats_2026.csv,repository_raw,team_stats,8.0,12.8,32.0
2026,Washington Mystics,22.6,0.506,44.7,5.9,0.306,19.4,19.4,3.5,26.9,28.6,0.446,64.1,19.7,0.729,27.0,19,207.9,9.4,21.8,82.8,13.0,team_stats_2026.csv,repository_raw,team_stats,5.8,16.7,36.3
