source_player_id,player,team,team_abbr,position,season,source_system,source_file
4065820,Kysre Gondrezick,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529130,Natasha Howard,Wings,DAL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3913903,Teaira McCowan,Wings,DAL,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3904577,Arike Ogunbowale,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066527,Jaelyn Brown,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
5209660,Sevgi Uzun,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4399415,Maddy Siegrist,Wings,DAL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3916514,Kalani Brown,Wings,DAL,C,2024,sportsdataverse,wehoop_player_box_2024.csv
5106150,Stephanie Soares,Wings,DAL,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4399114,Lou Lopez Senechal,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432865,Jacy Sheldon,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4068042,Natasha Mack,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
585,Diana Taurasi,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529137,Natasha Cloud,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2998938,Kahleah Copper,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3102133,Rebecca Allen,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4065759,Mikiah Herbert Harrigan,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398591,Liz Dixon,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3907781,Sophie Cunningham,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4068159,Sug Sutton,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3143510,Morgan Bertsch,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
924,Alysha Clark,Aces,LV,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2590093,Kiah Stokes,Aces,LV,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3149391,A'ja Wilson,Aces,LV,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3065570,Kelsey Plum,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4065870,Jackie Young,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433633,Kierstan Bell,Aces,LV,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3934218,Megan Gustafson,Aces,LV,C,2024,sportsdataverse,wehoop_player_box_2024.csv
1004,Sydney Colson,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2284331,Emma Cannon,Aces,LV,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398907,Kate Martin,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4595236,Dyaisha Fair,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3913881,Alanna Smith,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3917450,Napheesa Collier,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433635,Diamond Miller,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2529205,Kayla McBride,Lynx,MIN,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2987891,Courtney Williams,Lynx,MIN,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3906972,Bridget Carleton,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4257500,Cecilia Zandalasini,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398567,Taylor Soule,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
5105752,Alissa Pili,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3906753,Natisha Hiedeman,Lynx,MIN,G,2024,sportsdataverse,wehoop_player_box_2024.csv
5017721,Sika Kone,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4038390,Olivia Epoupa,Lynx,MIN,G,2024,sportsdataverse,wehoop_player_box_2024.csv
