player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source,history_games,history_latest_date,history_source
Gabby Williams,,Washington Mystics @ Golden State Valkyries,,PR,18.4,15.0,11.5,18.5,11.5-18.5,16.5,-119.5,-112.0,,,-1.5,UNDER,MED,0.544,0.5283,0.0297,3.0,0.0083,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[19.0, 8.0, 5.0, 20.0, 9.0]","[""Fever"", ""Tempo"", ""Mystics"", ""Dream"", ""Liberty""]",0.6,0.4,"[15.4, 14.6, 13.7, 16.8, 15.9]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Carla Leite,,Portland Fire @ Minnesota Lynx,,PR,17.2,18.6,15.1,22.1,15.1-22.1,17.5,-108.0,-122.0,,,1.1,OVER,MED,0.5336,0.5192,0.0277,2.8,0.0075,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[15.0, 0.0, 16.0, 16.0, 23.0]","[""Mystics"", ""Sun"", ""Dream"", ""Aces"", ""Storm""]",0.2,0.4,"[18.6, 17.7, 16.8, 20.0, 19.1]",13,0,,,,10.0,2026-07-16,wnba_player_game_logs
Sarah Ashlee Barker,,Portland Fire @ Minnesota Lynx,,PR,15.4,16.2,12.7,19.7,12.7-19.7,14.5,-115.0,-116.5,,,1.7,OVER,MED,0.5492,0.5349,0.0268,2.7,0.0077,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[17.0, 3.0, 14.0, 10.0, 31.0]","[""Mystics"", ""Sun"", ""Aces"", ""Storm"", ""Mystics""]",0.4,0.5,"[16.2, 15.3, 14.4, 17.6, 16.6]",13,0,,,,10.0,2026-07-16,wnba_player_game_logs
Flau'jae Johnson,,Seattle Storm @ Indiana Fever,,PRA,20.8,22.0,18.5,25.5,18.5-25.5,22.5,-130.0,-102.0,,,-0.5,UNDER,MED,0.518,0.505,0.0258,2.6,0.0066,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[35.0, 12.0, 21.0, 31.0, 12.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.6,0.5,"[22.0, 21.1, 20.2, 23.4, 22.4]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Olivia Miles,,Portland Fire @ Minnesota Lynx,,PR,22.3,22.5,19.0,26.0,19.0-26.0,23.5,-125.0,-107.5,,,-1.0,UNDER,MED,0.531,0.5181,0.025,2.5,0.0067,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[22.0, 36.0, 28.0, 19.0, 24.0]","[""Sparks"", ""Mercury"", ""Liberty"", ""Liberty"", ""Wings""]",0.4,0.4,"[22.9, 22.1, 21.1, 24.3, 23.4]",13,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sophie Cunningham,,Seattle Storm @ Indiana Fever,,PTS,8.9,7.0,3.5,10.5,3.5-10.5,8.5,-120.25,-113.33,,,-1.5,UNDER,MED,0.544,0.5312,0.024,2.4,0.0068,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[10.0, 20.0, 9.0, 2.0, 9.0]","[""Valkyries"", ""Aces"", ""Mercury"", ""Sparks"", ""Aces""]",0.2,0.3,"[7.0, 6.1, 5.2, 8.3, 7.5]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Bridget Carleton,,Portland Fire @ Minnesota Lynx,,PTS,13.4,13.6,10.1,17.1,10.1-17.1,12.5,-109.0,-120.0,,,1.1,OVER,MED,0.5336,0.5215,0.0231,2.3,0.0063,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[6.0, 6.0, 12.0, 9.0, 14.0]","[""Mystics"", ""Sun"", ""Dream"", ""Aces"", ""Storm""]",0.2,0.4,"[12.7, 11.8, 14.9, 14.0, 13.2]",13,0,,,,10.0,2026-07-16,wnba_player_game_logs
Aliyah Boston,,Seattle Storm @ Indiana Fever,,RA,11.1,11.0,7.5,14.5,7.5-14.5,11.5,-130.0,-103.5,,,-0.5,UNDER,MED,0.518,0.5086,0.0185,1.8,0.0048,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[8.0, 15.0, 9.0, 11.0, 10.0]","[""Valkyries"", ""Aces"", ""Mercury"", ""Aces"", ""Sparks""]",0.8,0.6,"[10.1, 9.2, 12.3, 11.4, 10.6]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Allisha Gray,,Atlanta Dream @ Toronto Tempo,,PTS,17.4,18.0,14.5,21.5,14.5-21.5,19.5,-115.0,-114.67,,,-1.5,UNDER,MED,0.544,0.5342,0.0184,1.8,0.0053,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[20.0, 20.0, 22.0, 22.0, 17.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.2,0.5,"[18.0, 17.1, 16.2, 19.4, 18.4]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
Allisha Gray,,Atlanta Dream @ Toronto Tempo,,PA,19.5,20.5,17.0,24.0,17.0-24.0,21.5,-125.0,-109.0,,,-1.0,UNDER,MED,0.531,0.5215,0.0182,1.8,0.0049,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[22.0, 22.0, 27.0, 25.0, 20.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.2,0.5,"[20.9, 20.1, 19.1, 22.3, 21.4]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
