game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at,available_books,all_books
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,UNDER,,A'ja Wilson,PTS,fanduel,FanDuel,27.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,OVER,,A'ja Wilson,REB,fanduel,FanDuel,10.5,-108,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,UNDER,,A'ja Wilson,REB,fanduel,FanDuel,10.5,-122,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,OVER,,Chelsea Gray,3PM,draftkings,DraftKings,1.5,-171,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,UNDER,,Chelsea Gray,3PM,fanduel,FanDuel,1.5,132,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,OVER,,Chelsea Gray,AST,fanduel,FanDuel,6.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,UNDER,,Chelsea Gray,AST,fanduel,FanDuel,6.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,OVER,,Chelsea Gray,PRA,fanduel,FanDuel,22.5,-110,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,UNDER,,Chelsea Gray,PRA,draftkings,DraftKings,22.5,-115,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,OVER,,Chelsea Gray,PTS,draftkings,DraftKings,12.5,-110,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
