game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Napheesa Collier,PTS,fanduel,FanDuel,18.5,-108,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,OVER,,Olivia Miles,PTS,fanduel,FanDuel,18.5,-110,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Olivia Miles,PTS,fanduel,FanDuel,18.5,-118,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,OVER,,Kayla McBride,PTS,fanduel,FanDuel,17.5,-110,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Kayla McBride,PTS,fanduel,FanDuel,17.5,-118,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,OVER,,Laura Juskaite,PTS,fanduel,FanDuel,9.5,-130,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Laura Juskaite,PTS,fanduel,FanDuel,9.5,100,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,OVER,,Marina Mabrey,PTS,fanduel,FanDuel,21.5,-102,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Marina Mabrey,PTS,fanduel,FanDuel,21.5,-128,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,OVER,,Natasha Howard,PTS,fanduel,FanDuel,12.5,-120,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points,UNDER,,Natasha Howard,PTS,fanduel,FanDuel,12.5,-108,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Courtney Williams,PRA,fanduel,FanDuel,20.5,-108,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Courtney Williams,PRA,fanduel,FanDuel,20.5,-122,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Maria Conde,PRA,fanduel,FanDuel,18.5,-128,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Maria Conde,PRA,fanduel,FanDuel,18.5,-104,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Olivia Miles,PRA,fanduel,FanDuel,30.5,-130,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Olivia Miles,PRA,fanduel,FanDuel,30.5,-102,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Julie Allemand,PRA,fanduel,FanDuel,16.5,-106,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Julie Allemand,PRA,fanduel,FanDuel,16.5,-125,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Napheesa Collier,PRA,fanduel,FanDuel,28.5,-114,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Napheesa Collier,PRA,fanduel,FanDuel,28.5,-114,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Kayla McBride,PRA,fanduel,FanDuel,22.5,-114,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Kayla McBride,PRA,fanduel,FanDuel,22.5,-114,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Marina Mabrey,PRA,fanduel,FanDuel,28.5,-108,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Marina Mabrey,PRA,fanduel,FanDuel,28.5,-122,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,OVER,,Natasha Howard,PRA,fanduel,FanDuel,22.5,-118,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_points_rebounds_assists,UNDER,,Natasha Howard,PRA,fanduel,FanDuel,22.5,-112,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,OVER,,Maria Conde,REB,fanduel,FanDuel,4.5,-158,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,UNDER,,Maria Conde,REB,fanduel,FanDuel,4.5,118,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,OVER,,Napheesa Collier,REB,fanduel,FanDuel,7.5,120,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,UNDER,,Napheesa Collier,REB,fanduel,FanDuel,7.5,-160,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,OVER,,Julie Allemand,REB,fanduel,FanDuel,3.5,142,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,PROP,player_rebounds,UNDER,,Julie Allemand,REB,fanduel,FanDuel,3.5,-192,True,the-odds-api,2026-07-30T19:47:52.972014+00:00
