player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source
Ariel Atkins,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PR,11.0,9.9,6.4,13.4,6.4-13.4,13.5,-110.0,-124.0,,,-3.6,UNDER,HIGH,0.5986,0.5536,0.0813,8.1,0.0252,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[8.6, 11.7, 10.8, 9.9, 9.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[10.3, 9.5, 8.6, 11.7, 10.8]",2,0,,,
Olivia Miles,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PTS,17.5,18.0,14.5,21.5,14.5-21.5,20.5,-117.0,-114.0,,,-2.5,UNDER,HIGH,0.57,0.5327,0.07,7.0,0.0199,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[19.8, 18.9, 18.0, 17.1, 16.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[17.6, 16.6, 19.8, 18.9, 18.0]",2,0,,,
Olivia Miles,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PRA,27.6,28.1,24.6,31.6,24.6-31.6,31.5,-113.5,-125.0,,,-3.4,UNDER,HIGH,0.5934,0.5556,0.0681,6.8,0.0213,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[29.0, 28.1, 27.2, 26.3, 29.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.8, 29.9, 29.0, 28.1, 27.2]",2,0,,,
Kayla Thornton,nan,Golden State Valkyries @ Indiana Fever,nan,PR,13.0,10.8,7.3,14.3,7.3-14.3,14.5,-104.0,-129.5,,,-3.7,UNDER,HIGH,0.6012,0.5643,0.0654,6.5,0.0212,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Golden State Valkyries @ Indiana Fever,Indiana Fever,Golden State Valkyries,"[11.2, 10.4, 9.5, 12.6, 11.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[9.5, 12.6, 11.7, 10.8, 9.9]",9,0,,,
Natasha Cloud,nan,Seattle Storm @ Chicago Sky,nan,PTS,9.3,8.5,5.0,12.0,5.0-12.0,11.5,-111.0,-121.0,,,-3.0,UNDER,HIGH,0.583,0.5475,0.0648,6.5,0.0196,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[9.8, 8.9, 8.1, 7.2, 10.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[8.1, 7.2, 10.3, 9.4, 8.5]",15,0,,,
Olivia Miles,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PA,22.8,23.6,20.1,27.1,20.1-27.1,26.5,-111.5,-121.0,,,-2.9,UNDER,HIGH,0.5804,0.5475,0.0601,6.0,0.0182,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[21.8, 25.0, 24.1, 23.2, 22.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[23.6, 22.7, 21.8, 25.0, 24.1]",2,0,,,
Rae Burrell,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PA,13.4,14.8,11.3,18.3,11.3-18.3,17.5,-111.5,-119.0,,,-2.7,UNDER,HIGH,0.5752,0.5434,0.0586,5.9,0.0174,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[16.2, 15.2, 14.4, 13.5, 16.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[13.9, 13.0, 16.2, 15.2, 14.4]",2,0,,,
Caitlin Clark,nan,Golden State Valkyries @ Indiana Fever,nan,PTS,19.5,17.7,14.2,21.2,14.2-21.2,15.5,-114.0,-115.0,,,2.2,OVER,HIGH,0.5622,0.5327,0.0554,5.5,0.0158,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Golden State Valkyries @ Indiana Fever,Indiana Fever,Golden State Valkyries,"[16.3, 19.5, 18.6, 17.7, 16.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[18.6, 17.7, 16.8, 15.9, 19.1]",9,0,,,
Rae Burrell,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PRA,15.7,17.0,13.5,20.5,13.5-20.5,20.5,-102.0,-130.0,,,-3.5,UNDER,HIGH,0.596,0.5652,0.0545,5.5,0.0177,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[17.0, 16.1, 15.2, 18.4, 17.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[18.8, 17.9, 17.0, 16.1, 15.2]",2,0,,,
Erica Wheeler,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PR,9.0,8.6,5.1,12.1,5.1-12.1,11.5,-109.0,-125.0,,,-2.9,UNDER,HIGH,0.5804,0.5556,0.0447,4.5,0.014,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[6.8, 9.9, 9.0, 8.2, 7.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[8.6, 7.7, 6.8, 9.9, 9.0]",2,0,,,
