PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,GP,MIN,PTS,REB,AST,FG3M
Kayla Thornton,Golden State Valkyries,F,2,19.0,2.0,2.0,1.0,0.0
Kennedy Burke,Connecticut Sun,G,1,23.0,16.0,0.0,2.0,0.0
Kia Nurse,Toronto Tempo,G,1,21.0,12.0,1.0,0.0,0.0
Kiah Stokes,Golden State Valkyries,C,2,25.0,5.5,8.0,1.5,0.0
Kiana Williams,Los Angeles Sparks,G,1,16.0,4.0,0.0,3.0,0.0
Kiki Iriafen,Washington Mystics,F,1,30.0,12.0,9.0,1.0,0.0
Kiki Rice,Toronto Tempo,G,1,0.0,0.0,0.0,0.0,0.0
Laeticia Amihere,Golden State Valkyries,F,2,13.0,1.0,4.5,1.0,0.0
Laura Juskaite,Toronto Tempo,F,1,24.0,8.0,5.0,1.0,0.0
Lauren Betts,Washington Mystics,C,1,16.0,7.0,5.0,3.0,0.0
Leila Lacan,Connecticut Sun,G,1,34.0,13.0,2.0,3.0,0.0
Li Yueru,Dallas Wings,C,1,4.0,0.0,0.0,0.0,0.0
Liatu King,Minnesota Lynx,F,1,0.0,0.0,0.0,0.0,0.0
Lucy Olsen,Washington Mystics,G,1,15.0,5.0,0.0,3.0,0.0
Luisa Geiselsoder,Portland Fire,C,1,0.0,0.0,0.0,0.0,0.0
Mackenzie Holmes,Seattle Storm,F,2,1.5,0.0,0.5,0.0,0.0
Maddy Siegrist,Dallas Wings,F,1,8.0,2.0,0.0,0.0,0.0
Madina Okot,Atlanta Dream,C,1,10.0,11.0,2.0,0.0,0.0
Maria Conde,Toronto Tempo,F,1,29.0,3.0,10.0,3.0,0.0
Marina Mabrey,Toronto Tempo,G,1,31.0,19.0,5.0,5.0,0.0
Maya Caldwell,Minnesota Lynx,G,1,13.0,2.0,2.0,3.0,0.0
Megan Gustafson,Portland Fire,C,1,27.0,10.0,9.0,3.0,0.0
Michaela Onyenwere,Washington Mystics,F,1,28.0,2.0,3.0,1.0,0.0
Nadia Fingall,Golden State Valkyries,C,2,0.0,0.0,0.0,0.0,0.0
Napheesa Collier,Minnesota Lynx,F,1,0.0,0.0,0.0,0.0,0.0
Natasha Howard,Minnesota Lynx,F,1,26.0,18.0,6.0,4.0,0.0
Natisha Hiedeman,Seattle Storm,G,2,29.5,15.0,4.0,4.0,0.0
Naz Hillmon,Atlanta Dream,F,1,24.0,3.0,5.0,1.0,0.0
Nell Angloma,Connecticut Sun,F,1,0.0,0.0,0.0,0.0,0.0
Nia Coffey,Minnesota Lynx,F,1,20.0,2.0,4.0,3.0,0.0
Nneka Ogwumike,Los Angeles Sparks,F,1,28.0,14.0,11.0,3.0,0.0
Nyadiew Puoch,Portland Fire,F,1,15.0,2.0,2.0,0.0,0.0
Nyara Sabally,Toronto Tempo,F,1,29.0,14.0,7.0,5.0,0.0
Odyssey Sims,Dallas Wings,G,1,8.0,2.0,0.0,0.0,0.0
Olivia Miles,Minnesota Lynx,G,1,0.0,0.0,0.0,0.0,0.0
Olivia Nelson-Ododa,Connecticut Sun,C,1,29.0,10.0,8.0,3.0,0.0
Ornella Bankole,Toronto Tempo,G,1,8.0,2.0,2.0,0.0,0.0
Paige Bueckers,Dallas Wings,G,1,31.0,22.0,3.0,7.0,0.0
Rae Burrell,Los Angeles Sparks,G,1,25.0,5.0,1.0,0.0,0.0
Raegan Beers,Connecticut Sun,F,1,0.0,0.0,0.0,0.0,0.0
Rhyne Howard,Atlanta Dream,G,1,37.0,19.0,5.0,3.0,0.0
Rori Harmon,Washington Mystics,G,1,0.0,0.0,0.0,0.0,0.0
Saniya Rivers,Connecticut Sun,G,1,16.0,4.0,2.0,1.0,0.0
Sarah Ashlee Barker,Portland Fire,G,1,28.0,4.0,6.0,3.0,0.0
Serah Williams,Portland Fire,C,1,13.0,0.0,2.0,0.0,0.0
Shakira Austin,Washington Mystics,C,1,24.0,11.0,11.0,0.0,0.0
Sika Kone,Atlanta Dream,F,1,6.0,4.0,0.0,0.0,0.0
Sonia Citron,Washington Mystics,G,1,0.0,0.0,0.0,0.0,0.0
Stefanie Dolson,Seattle Storm,C,2,10.0,2.0,1.5,1.0,0.0
Sug Sutton,Dallas Wings,G,1,9.0,4.0,0.0,1.0,0.0
Taylor Thierry,Seattle Storm,F,2,1.5,0.0,0.5,0.0,0.0
Te-Hina Paopao,Atlanta Dream,G,1,5.0,0.0,0.0,0.0,0.0
Teja Oblak,Portland Fire,G,1,16.0,5.0,2.0,1.0,0.0
Temi Fagbenle,Toronto Tempo,C,1,0.0,0.0,0.0,0.0,0.0
Teonni Key,Toronto Tempo,F,1,10.0,2.0,0.0,0.0,0.0
Tiffany Hayes,Golden State Valkyries,G,2,16.0,7.0,1.0,1.5,0.0
Tima Pouye,Toronto Tempo,G,1,21.0,3.0,0.0,1.0,0.0
Veronica Burton,Golden State Valkyries,G,2,27.0,14.0,2.0,3.5,0.0
Zia Cooke,Seattle Storm,G,2,14.5,5.5,1.5,0.5,0.0
