generated_at_utc,game_date,event_id,game,player,player_id,stat,side,sportsbook,sportsbook_key,line,odds,projection,projection_edge,model_probability,implied_probability,probability_edge,expected_value_per_dollar,model_mae,feature_ready,deployment_status,source
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Breanna Stewart,pl_a9f0686367871e4e,reb,OVER,FanDuel,fanduel,8.5,-118,4.42,-4.08,0.0242,0.5413,-0.5171,-0.9552,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Breanna Stewart,pl_a9f0686367871e4e,reb,OVER,DraftKings,draftkings,8.5,-127,4.42,-4.08,0.0242,0.5595,-0.5352,-0.9567,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Olivia Miles,pl_a16dc7f41e113ba9,pra,OVER,FanDuel,fanduel,29.5,-106,16.05,-13.45,0.0222,0.5146,-0.4924,-0.957,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c01616be622aa0fcab0ac0351d05e264,Atlanta Dream @ Dallas Wings,Jordin Canada,pl_e49d761a397e4cf3,pra,OVER,FanDuel,fanduel,23.5,-114,10.14,-13.36,0.0228,0.5327,-0.5099,-0.9571,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Nneka Ogwumike,pl_84eaedaae32e85d7,reb,OVER,DraftKings,draftkings,8.5,-124,4.39,-4.11,0.0236,0.5536,-0.5299,-0.9573,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Marina Mabrey,pl_7897ca9d575458b3,pra,OVER,FanDuel,fanduel,26.5,-122,13.19,-13.31,0.0233,0.5495,-0.5263,-0.9577,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c01616be622aa0fcab0ac0351d05e264,Atlanta Dream @ Dallas Wings,Jordin Canada,pl_e49d761a397e4cf3,pra,OVER,DraftKings,draftkings,23.5,-118,10.14,-13.36,0.0228,0.5413,-0.5184,-0.9578,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Nneka Ogwumike,pl_84eaedaae32e85d7,reb,OVER,FanDuel,fanduel,8.5,-128,4.39,-4.11,0.0236,0.5614,-0.5378,-0.9579,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Nneka Ogwumike,pl_84eaedaae32e85d7,pra,OVER,DraftKings,draftkings,29.5,-124,16.19,-13.31,0.0233,0.5536,-0.5303,-0.958,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Olivia Miles,pl_a16dc7f41e113ba9,pra,OVER,DraftKings,draftkings,29.5,-118,16.05,-13.45,0.0222,0.5413,-0.5191,-0.9591,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
