archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,snapshot_count,book_count
706,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-121.0,25.5,-122.67,INFERRED_LATEST,0.0,0.0,1,0
707,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-117.67,17.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
709,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-111.5,21.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
711,2026-07-29,401857097,Rhyne Howard,PA,UNDER,20.5,-102.0,21.5,-124.5,INFERRED_LATEST,0.0,0.0,1,0
742,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-127.0,21.5,-124.5,INFERRED_LATEST,0.0,0.0,1,0
745,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-119.33,25.5,-122.67,INFERRED_LATEST,0.0,0.0,1,0
746,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-116.5,17.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
787,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,1,0
789,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-122.67,25.5,-122.67,INFERRED_LATEST,0.0,0.0,1,0
790,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-114.0,17.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
791,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-114.0,21.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
813,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-127.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,1,0
815,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-112.0,25.5,-122.67,INFERRED_LATEST,0.0,0.0,1,0
816,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-118.5,17.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
817,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-107.5,21.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
836,2026-07-30,401857099,Natasha Howard,PR,UNDER,19.5,-115.0,19.5,-115.0,INFERRED_LATEST,0.0,0.0,1,0
831,2026-07-30,401857100,Charlisse Leger-Walker,PR,UNDER,9.5,-119.0,9.5,-119.0,INFERRED_LATEST,0.0,0.0,1,0
835,2026-07-30,401857100,Charlisse Leger-Walker,PRA,UNDER,13.5,-112.0,13.5,-111.5,INFERRED_LATEST,0.0,0.0,1,0
838,2026-07-30,401857100,Charlisse Leger-Walker,PA,UNDER,10.5,-114.0,10.5,-110.0,INFERRED_LATEST,0.0,0.0,1,0
874,2026-07-30,401857100,Kamilla Cardoso,REB,UNDER,7.5,-115.33,8.5,-103.5,INFERRED_LATEST,0.0,0.0,1,0
819,2026-07-30,401857101,Pauline Astier,REB,UNDER,2.5,-208.0,2.5,-208.0,INFERRED_LATEST,0.0,0.0,1,0
833,2026-07-30,401857101,Pauline Astier,PR,UNDER,10.5,-119.0,10.5,-120.0,INFERRED_LATEST,0.0,0.0,1,0
852,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,25.5,-131.5,24.5,-112.0,INFERRED_LATEST,0.0,0.0,1,0
853,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,17.5,-131.67,16.5,-116.0,INFERRED_LATEST,0.0,0.0,1,0
854,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,16.5,-116.0,16.5,-116.0,INFERRED_LATEST,0.0,0.0,1,0
856,2026-07-31,401857102,Rhyne Howard,PR,UNDER,21.5,-124.5,20.5,-107.0,INFERRED_LATEST,0.0,0.0,1,0
857,2026-07-31,401857102,Rhyne Howard,PA,UNDER,20.5,-110.5,20.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
861,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,24.5,-107.0,24.5,-112.0,INFERRED_LATEST,0.0,0.0,1,0
865,2026-07-31,401857103,Azzi Fudd,AST,OVER,1.5,-188.5,,,UNAVAILABLE,,,0,0
867,2026-07-31,401857103,Jessica Shepard,AST,OVER,4.5,-142.5,4.5,-147.0,INFERRED_LATEST,0.0,0.0,1,0
818,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,-108.0,11.5,-115.0,INFERRED_LATEST,0.0,0.0,1,0
832,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,-127.75,8.5,-134.0,INFERRED_LATEST,0.0,0.0,1,0
839,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,-270.0,1.5,-263.75,INFERRED_LATEST,0.0,0.0,1,0
851,2026-07-31,401857104,Kelsey Mitchell,AST,UNDER,3.5,-217.0,3.5,-217.0,INFERRED_LATEST,0.0,0.0,1,0
855,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,-115.5,11.5,-115.0,INFERRED_LATEST,0.0,0.0,1,0
866,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,-138.25,8.5,-134.0,INFERRED_LATEST,0.0,0.0,1,0
875,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,-286.5,1.5,-263.75,INFERRED_LATEST,0.0,0.0,1,0
890,2026-08-01,401857105,Natasha Cloud,REB,UNDER,3.5,-168.33,3.5,-161.67,INFERRED_LATEST,0.0,0.0,1,0
907,2026-08-01,401857105,Natasha Cloud,PR,UNDER,13.5,-116.0,12.5,-114.0,INFERRED_LATEST,0.0,0.0,1,0
908,2026-08-01,401857105,Kamilla Cardoso,REB,UNDER,7.5,56.5,7.5,55.0,INFERRED_LATEST,0.0,0.0,1,0
883,2026-08-01,401857106,Pauline Astier,REB,UNDER,2.5,-233.0,2.5,-233.0,INFERRED_LATEST,0.0,0.0,1,0
905,2026-08-01,401857106,Jonquel Jones,AST,OVER,2.5,57.25,,,UNAVAILABLE,,,0,0
893,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,-133.0,2.5,-118.0,INFERRED_LATEST,0.0,0.0,1,0
906,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,-123.33,15.5,-108.0,INFERRED_LATEST,0.0,0.0,1,0
933,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,-118.0,2.5,-118.0,INFERRED_LATEST,0.0,0.0,1,0
947,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,-123.5,15.5,-108.0,INFERRED_LATEST,0.0,0.0,1,0
948,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,15.5,-108.5,15.5,-108.0,INFERRED_LATEST,0.0,0.0,1,0
915,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,15.5,-133.0,14.5,-124.0,INFERRED_LATEST,0.0,0.0,1,0
916,2026-08-02,401857109,Charlisse Leger-Walker,PA,UNDER,12.5,-128.0,11.5,-112.0,INFERRED_LATEST,0.0,0.0,1,0
931,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,14.5,-129.0,14.5,-124.0,INFERRED_LATEST,0.0,0.0,1,0
895,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,-200.0,2.5,-195.75,INFERRED_LATEST,0.0,0.0,1,0
937,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,-195.75,2.5,-195.75,INFERRED_LATEST,0.0,0.0,1,0
1006,2026-08-02,401857110,Laura Juskaite,REB,OVER,3.5,-167.0,,,UNAVAILABLE,,,0,0
914,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,-115.5,16.5,-111.0,INFERRED_LATEST,0.0,0.0,1,0
917,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,-119.5,20.5,-120.5,INFERRED_LATEST,0.0,0.0,1,0
918,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,-124.0,20.5,-117.5,INFERRED_LATEST,0.0,0.0,1,0
919,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,-126.0,24.5,-124.67,INFERRED_LATEST,0.0,0.0,1,0
953,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,-111.0,16.5,-111.0,INFERRED_LATEST,0.0,0.0,1,0
954,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,-120.5,20.5,-120.5,INFERRED_LATEST,0.0,0.0,1,0
957,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,-117.5,20.5,-117.5,INFERRED_LATEST,0.0,0.0,1,0
960,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,-124.67,24.5,-124.67,INFERRED_LATEST,0.0,0.0,1,0
938,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,-152.0,,,UNAVAILABLE,,,0,0
966,2026-08-03,401857112,Natisha Hiedeman,AST,UNDER,5.5,-127.75,5.5,-128.0,INFERRED_LATEST,0.0,0.0,1,0
975,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,-154.25,,,UNAVAILABLE,,,0,0
987,2026-08-03,401857112,Awa Fam,REB,OVER,5.5,-127.0,5.5,-113.2,INFERRED_LATEST,0.0,0.0,1,0
978,2026-08-03,401857113,Natasha Cloud,PR,UNDER,13.5,-122.0,13.5,-121.0,INFERRED_LATEST,0.0,0.0,1,0
