archive_index,date,player,game,stat,alt_line,side,classification,candidate_dates,note,legacy_outcome
981,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,REB,3.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
982,2026-08-04,Rae Burrell,Los Angeles Sparks @ Chicago Sky,RA,4.5,OVER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
983,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,RA,5.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
984,2026-08-04,Rhyne Howard,Phoenix Mercury @ Atlanta Dream,PRA,23.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
985,2026-08-04,Jordin Canada,Phoenix Mercury @ Atlanta Dream,PR,14.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
986,2026-08-04,Jordin Canada,Phoenix Mercury @ Atlanta Dream,PTS,10.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
989,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,AST,2.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
993,2026-08-04,Jordin Canada,Phoenix Mercury @ Atlanta Dream,PA,19.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
994,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PR,22.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
995,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PR,21.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
996,2026-08-04,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PTS,16.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
997,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PRA,24.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
998,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PRA,23.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1001,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PA,21.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1003,2026-08-04,Erica Wheeler,Los Angeles Sparks @ Chicago Sky,REB,2.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1005,2026-08-04,Rhyne Howard,Phoenix Mercury @ Atlanta Dream,REB,3.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1007,2026-08-04,Kahleah Copper,Phoenix Mercury @ Atlanta Dream,RA,5.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1010,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PTS,18.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1011,2026-08-04,Aliyah Boston,Las Vegas Aces @ Indiana Fever,PR,24.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,LOSS
1012,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,PA,20.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1013,2026-08-04,Kahleah Copper,Phoenix Mercury @ Atlanta Dream,AST,1.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
1014,2026-08-04,Allisha Gray,Phoenix Mercury @ Atlanta Dream,3PM,1.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,LOSS
1015,2026-08-04,Aliyah Boston,Las Vegas Aces @ Indiana Fever,PTS,15.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,LOSS
1016,2026-08-04,Angel Reese,Phoenix Mercury @ Atlanta Dream,AST,2.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
