archive_index,date,player,game,stat,alt_line,side,audit_classification,warehouse_game_id,warehouse_date,cardinality,classification,requested_stat_values,unique_requested_stat_values,safe_to_collapse,record_ids,sources,candidate_games,same_player_date_candidate_count,legacy_outcome,legacy_actual
772,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PRA,30.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,34.0
773,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,12.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,18.0
774,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,REB,8.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
775,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PA,21.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,30.0
776,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,AST,3.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,9.0
777,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,3.0
780,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,4.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
781,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PA,14.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,17.0
782,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,19.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,19.0
783,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,18.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
784,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PRA,21.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,23.0
792,2026-07-30,Jackie Young,New York Liberty @ Las Vegas Aces,AST,7.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,9.0
798,2026-07-30,Breanna Stewart,New York Liberty @ Las Vegas Aces,AST,3.5,OVER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,1.0
819,2026-07-30,Pauline Astier,New York Liberty @ Las Vegas Aces,REB,2.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
820,2026-07-30,Courtney Williams,Minnesota Lynx @ Toronto Tempo,AST,3.5,OVER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,WIN,5.0
824,2026-07-30,Breanna Stewart,New York Liberty @ Las Vegas Aces,AST,3.5,OVER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,1.0
833,2026-07-30,Pauline Astier,New York Liberty @ Las Vegas Aces,PR,10.5,UNDER,EXACT_MATCH,,2026-07-30,0,ZERO_MATCH,,0,False,,,,2,LOSS,20.0
