archive_index,candidate_game_ids,canonical_game_date,canonical_game_id,classification,player,source,status
994,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
995,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
996,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Kamilla Cardoso,,UNRESOLVED
997,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
998,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
999,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Veronica Burton,data/raw/boxscores_2026-08-02.csv,RESOLVED
1001,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
1002,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Veronica Burton,data/raw/boxscores_2026-08-02.csv,RESOLVED
1003,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Erica Wheeler,,UNRESOLVED
1005,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Rhyne Howard,,UNRESOLVED
1006,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Laura Juskaite,data/raw/boxscores_2026-08-02.csv,RESOLVED
1007,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Kahleah Copper,,UNRESOLVED
1010,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
1011,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Aliyah Boston,,UNRESOLVED
1012,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
1013,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Kahleah Copper,,UNRESOLVED
1014,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
1015,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Aliyah Boston,,UNRESOLVED
1016,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Angel Reese,,UNRESOLVED
