prediction_id,ranking_key,prediction_generated_at_utc,date,player,game,stat,side,line,odds,book,model,v5_probability,market_probability,probability_edge,actual,outcome,target_win,graded_at_utc
2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under|2026-08-14T00:44:50.692907+00:00|0.346652,2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under,2026-08-14T00:44:50.692907+00:00,2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,REB,UNDER,9.5,-109.0,DraftKings,KNN,0.346652,0.521531,-0.174879,6.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under|2026-08-14T02:45:53.180345+00:00|0.346652,2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under,2026-08-14T02:45:53.180345+00:00,2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,REB,UNDER,9.5,-109.0,DraftKings,KNN,0.346652,0.521531,-0.174879,6.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under|2026-08-14T03:14:20.333368+00:00|0.346652,2026-08-13|a'ja wilson|washington mystics @ las vegas aces|reb|under,2026-08-14T03:14:20.333368+00:00,2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,REB,UNDER,9.5,-109.0,DraftKings,KNN,0.346652,0.521531,-0.174879,6.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T22:14:23.905058+00:00|0.476227,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T22:14:23.905058+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,2.5,-145.0,DraftKings,KNN,0.476227,0.591837,-0.115609,3.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T22:14:23.905058+00:00|0.451084,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T22:14:23.905058+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,3.5,164.0,BetOnline.ag,KNN,0.451084,0.378788,0.072296,3.0,LOSS,0,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T22:26:02.084717+00:00|0.476227,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T22:26:02.084717+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,2.5,-145.0,DraftKings,KNN,0.476227,0.591837,-0.115609,3.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T22:26:02.084717+00:00|0.451084,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T22:26:02.084717+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,3.5,164.0,BetOnline.ag,KNN,0.451084,0.378788,0.072296,3.0,LOSS,0,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T23:01:54.176482+00:00|0.476227,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T23:01:54.176482+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,2.5,-145.0,DraftKings,KNN,0.476227,0.591837,-0.115609,3.0,WIN,1,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T23:01:54.176482+00:00|0.451084,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T23:01:54.176482+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,3.5,164.0,BetOnline.ag,KNN,0.451084,0.378788,0.072296,3.0,LOSS,0,2026-08-18T00:32:27.154446+00:00
2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over|2026-08-13T23:26:09.905124+00:00|0.476227,2026-08-13|allisha gray|atlanta dream @ connecticut sun|reb|over,2026-08-13T23:26:09.905124+00:00,2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,2.5,-145.0,DraftKings,KNN,0.476227,0.591837,-0.115609,3.0,WIN,1,2026-08-18T00:32:27.154446+00:00
