archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
646,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Courtney Williams,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
652,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
653,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
654,,,2026-07-22,Dallas Wings @ Portland Fire,,Megan Gustafson,,UNRESOLVED_LOCAL
655,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
656,2026-07-22,401857089,2026-07-22,Las Vegas Aces @ Washington Mystics,local_raw_unique_player_game_same_date,NaLyssa Smith,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
659,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
661,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
662,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
665,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
666,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
668,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
669,2026-07-25,401857320,2026-07-25,Atlanta Dream @ Dallas Wings,local_raw_unique_player_game_same_date,Rhyne Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
671,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
