archive_index,date,player,game,stat,canonical_game_id,raw_matches,reconstructed_actual,classification
739,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
740,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
744,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
747,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
748,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
751,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,RA,,0,,NO_CANONICAL_GAME_ID
753,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,,0,,NO_CANONICAL_GAME_ID
754,2026-07-28,Olivia Miles,Toronto Tempo @ Minnesota Lynx,3PM,,0,,NO_CANONICAL_GAME_ID
756,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,,0,,NO_CANONICAL_GAME_ID
757,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,REB,,0,,NO_CANONICAL_GAME_ID
759,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
762,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
763,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,,0,,NO_CANONICAL_GAME_ID
765,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
766,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PTS,,0,,NO_CANONICAL_GAME_ID
767,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
768,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
769,2026-07-28,Kelsey Mitchell,Indiana Fever @ Seattle Storm,AST,,0,,NO_CANONICAL_GAME_ID
770,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
771,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
772,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PRA,,0,,NO_CANONICAL_GAME_ID
773,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,,0,,NO_CANONICAL_GAME_ID
774,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
775,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PA,,0,,NO_CANONICAL_GAME_ID
776,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
777,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,3PM,,0,,NO_CANONICAL_GAME_ID
780,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
781,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PA,,0,,NO_CANONICAL_GAME_ID
782,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
783,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
784,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PRA,,0,,NO_CANONICAL_GAME_ID
792,2026-07-30,Jackie Young,New York Liberty @ Las Vegas Aces,AST,,0,,NO_CANONICAL_GAME_ID
798,2026-07-30,Breanna Stewart,New York Liberty @ Las Vegas Aces,AST,,0,,NO_CANONICAL_GAME_ID
819,2026-07-30,Pauline Astier,New York Liberty @ Las Vegas Aces,REB,,0,,NO_CANONICAL_GAME_ID
820,2026-07-30,Courtney Williams,Minnesota Lynx @ Toronto Tempo,AST,,0,,NO_CANONICAL_GAME_ID
824,2026-07-30,Breanna Stewart,New York Liberty @ Las Vegas Aces,AST,,0,,NO_CANONICAL_GAME_ID
833,2026-07-30,Pauline Astier,New York Liberty @ Las Vegas Aces,PR,,0,,NO_CANONICAL_GAME_ID
836,2026-07-30,Natasha Howard,Minnesota Lynx @ Toronto Tempo,PR,,0,,NO_CANONICAL_GAME_ID
843,2026-07-30,Sabrina Ionescu,New York Liberty @ Las Vegas Aces,REB,,0,,NO_CANONICAL_GAME_ID
844,2026-07-30,Natasha Howard,Minnesota Lynx @ Toronto Tempo,REB,,0,,NO_CANONICAL_GAME_ID
846,2026-07-30,Courtney Williams,Minnesota Lynx @ Toronto Tempo,PR,,0,,NO_CANONICAL_GAME_ID
881,2026-08-01,DeWanna Bonner,New York Liberty @ Phoenix Mercury,REB,,0,,NO_CANONICAL_GAME_ID
883,2026-08-01,Pauline Astier,New York Liberty @ Phoenix Mercury,REB,,0,,NO_CANONICAL_GAME_ID
885,2026-08-01,NaLyssa Smith,Las Vegas Aces @ Chicago Sky,REB,,0,,NO_CANONICAL_GAME_ID
887,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
888,2026-08-01,Elizabeth Williams,Las Vegas Aces @ Chicago Sky,REB,,0,,NO_CANONICAL_GAME_ID
889,2026-08-01,Kamilla Cardoso,Las Vegas Aces @ Chicago Sky,RA,,0,,NO_CANONICAL_GAME_ID
890,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,REB,,0,,NO_CANONICAL_GAME_ID
891,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PR,,0,,NO_CANONICAL_GAME_ID
892,2026-08-01,Elizabeth Williams,Las Vegas Aces @ Chicago Sky,RA,,0,,NO_CANONICAL_GAME_ID
893,2026-08-01,Kelsey Mitchell,Indiana Fever @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
894,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,REB,,0,,NO_CANONICAL_GAME_ID
895,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,3PM,,0,,NO_CANONICAL_GAME_ID
896,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
897,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PR,,0,,NO_CANONICAL_GAME_ID
898,2026-08-01,Chelsea Gray,Las Vegas Aces @ Chicago Sky,RA,,0,,NO_CANONICAL_GAME_ID
899,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
900,2026-08-01,Jackie Young,Las Vegas Aces @ Chicago Sky,REB,,0,,NO_CANONICAL_GAME_ID
901,2026-08-01,Monique Akoa Makani,New York Liberty @ Phoenix Mercury,AST,,0,,NO_CANONICAL_GAME_ID
904,2026-08-01,Caitlin Clark,Indiana Fever @ Minnesota Lynx,REB,,0,,NO_CANONICAL_GAME_ID
905,2026-08-01,Jonquel Jones,New York Liberty @ Phoenix Mercury,AST,,0,,NO_CANONICAL_GAME_ID
906,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
907,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,PR,,0,,NO_CANONICAL_GAME_ID
908,2026-08-01,Kamilla Cardoso,Las Vegas Aces @ Chicago Sky,REB,,0,,NO_CANONICAL_GAME_ID
909,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,3PM,,0,,NO_CANONICAL_GAME_ID
910,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,RA,,0,,NO_CANONICAL_GAME_ID
911,2026-08-01,Natasha Mack,New York Liberty @ Phoenix Mercury,REB,,0,,NO_CANONICAL_GAME_ID
912,2026-08-02,Jordin Canada,Las Vegas Aces @ Atlanta Dream,AST,,0,,NO_CANONICAL_GAME_ID
914,2026-08-02,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PTS,,0,,NO_CANONICAL_GAME_ID
917,2026-08-02,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PR,,0,,NO_CANONICAL_GAME_ID
918,2026-08-02,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PA,,0,,NO_CANONICAL_GAME_ID
919,2026-08-02,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PRA,,0,,NO_CANONICAL_GAME_ID
920,2026-08-02,Nyara Sabally,Toronto Tempo @ Golden State Valkyries,REB,,0,,NO_CANONICAL_GAME_ID
922,2026-08-02,Courtney Williams,Indiana Fever @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
923,2026-08-02,Courtney Williams,Indiana Fever @ Minnesota Lynx,RA,,0,,NO_CANONICAL_GAME_ID
924,2026-08-02,Allisha Gray,Las Vegas Aces @ Atlanta Dream,REB,,0,,NO_CANONICAL_GAME_ID
926,2026-08-02,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PRA,,0,,NO_CANONICAL_GAME_ID
928,2026-08-02,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PR,,0,,NO_CANONICAL_GAME_ID
930,2026-08-02,Allisha Gray,Las Vegas Aces @ Atlanta Dream,RA,,0,,NO_CANONICAL_GAME_ID
932,2026-08-02,Jordin Canada,Las Vegas Aces @ Atlanta Dream,PR,,0,,NO_CANONICAL_GAME_ID
933,2026-08-02,Kelsey Mitchell,Indiana Fever @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
934,2026-08-02,Jordin Canada,Las Vegas Aces @ Atlanta Dream,PTS,,0,,NO_CANONICAL_GAME_ID
935,2026-08-02,Courtney Williams,Indiana Fever @ Minnesota Lynx,REB,,0,,NO_CANONICAL_GAME_ID
937,2026-08-02,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,3PM,,0,,NO_CANONICAL_GAME_ID
939,2026-08-02,Allisha Gray,Las Vegas Aces @ Atlanta Dream,AST,,0,,NO_CANONICAL_GAME_ID
940,2026-08-02,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
941,2026-08-02,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
947,2026-08-02,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
948,2026-08-02,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
951,2026-08-02,Courtney Williams,Indiana Fever @ Minnesota Lynx,RA,,0,,NO_CANONICAL_GAME_ID
952,2026-08-03,Jordin Canada,Las Vegas Aces @ Atlanta Dream,AST,,0,,NO_CANONICAL_GAME_ID
953,2026-08-03,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PTS,,0,,NO_CANONICAL_GAME_ID
954,2026-08-03,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PR,,0,,NO_CANONICAL_GAME_ID
955,2026-08-03,Brionna Jones,Las Vegas Aces @ Atlanta Dream,PRA,,0,,NO_CANONICAL_GAME_ID
957,2026-08-03,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PA,,0,,NO_CANONICAL_GAME_ID
960,2026-08-03,Rhyne Howard,Las Vegas Aces @ Atlanta Dream,PRA,,0,,NO_CANONICAL_GAME_ID
961,2026-08-03,DeWanna Bonner,Phoenix Mercury @ Chicago Sky,RA,,0,,NO_CANONICAL_GAME_ID
964,2026-08-03,Allisha Gray,Las Vegas Aces @ Atlanta Dream,REB,,0,,NO_CANONICAL_GAME_ID
967,2026-08-03,Veronica Burton,Toronto Tempo @ Golden State Valkyries,RA,,0,,NO_CANONICAL_GAME_ID
969,2026-08-03,Allisha Gray,Las Vegas Aces @ Atlanta Dream,RA,,0,,NO_CANONICAL_GAME_ID
970,2026-08-03,Jordin Canada,Las Vegas Aces @ Atlanta Dream,PR,,0,,NO_CANONICAL_GAME_ID
971,2026-08-03,Jordin Canada,Las Vegas Aces @ Atlanta Dream,3PM,,0,,NO_CANONICAL_GAME_ID
972,2026-08-03,Jordin Canada,Las Vegas Aces @ Atlanta Dream,PTS,,0,,NO_CANONICAL_GAME_ID
973,2026-08-03,Veronica Burton,Toronto Tempo @ Golden State Valkyries,REB,,0,,NO_CANONICAL_GAME_ID
974,2026-08-03,Allisha Gray,Las Vegas Aces @ Atlanta Dream,AST,,0,,NO_CANONICAL_GAME_ID
976,2026-08-03,Naz Hillmon,Las Vegas Aces @ Atlanta Dream,REB,,0,,NO_CANONICAL_GAME_ID
978,2026-08-03,Natasha Cloud,Phoenix Mercury @ Chicago Sky,PR,,0,,NO_CANONICAL_GAME_ID
999,2026-08-04,Veronica Burton,Toronto Tempo @ Golden State Valkyries,RA,,0,,NO_CANONICAL_GAME_ID
1002,2026-08-04,Veronica Burton,Toronto Tempo @ Golden State Valkyries,REB,,0,,NO_CANONICAL_GAME_ID
1006,2026-08-04,Laura Juskaite,Toronto Tempo @ Golden State Valkyries,REB,,0,,NO_CANONICAL_GAME_ID
