team,stat,position,games_sampled,player_observations,allowed_avg
Dallas Wings,AST,F,2,2,5.5
Dallas Wings,AST,G,2,2,1.5
Dallas Wings,PA,C,2,2,11.0
Dallas Wings,PA,F,2,2,11.0
Dallas Wings,PA,G,1,1,5.0
Dallas Wings,PR,C,1,1,9.0
Dallas Wings,PR,F,2,2,15.5
Dallas Wings,PR,G,2,2,10.0
Dallas Wings,PRA,C,1,1,9.0
Dallas Wings,PRA,F,1,1,4.0
Dallas Wings,PRA,G,2,2,12.0
Dallas Wings,PTS,C,1,1,6.0
Dallas Wings,PTS,F,2,3,9.6667
Dallas Wings,PTS,G,3,4,5.0
Dallas Wings,RA,C,1,1,3.0
Dallas Wings,RA,F,2,3,14.0
Dallas Wings,REB,C,1,1,3.0
Dallas Wings,REB,F,1,1,13.0
Dallas Wings,REB,G,1,1,2.0
Golden State Valkyries,3PM,C,1,1,2.0
Golden State Valkyries,3PM,G,2,2,1.5
Golden State Valkyries,AST,G,2,2,5.0
Golden State Valkyries,PA,C,1,1,16.0
Golden State Valkyries,PA,G,2,2,18.0
Golden State Valkyries,PR,C,3,3,28.6667
Golden State Valkyries,PRA,C,3,3,30.0
Golden State Valkyries,PRA,G,2,2,20.0
Golden State Valkyries,PTS,C,1,1,15.0
Golden State Valkyries,PTS,G,1,1,20.0
Golden State Valkyries,REB,C,2,2,4.5
Golden State Valkyries,REB,G,1,1,2.0
Indiana Fever,3PM,C,1,1,0.0
Indiana Fever,3PM,G,2,2,0.0
Indiana Fever,AST,C,1,1,2.0
Indiana Fever,AST,F,1,1,1.0
Indiana Fever,AST,G,2,2,6.0
Indiana Fever,PA,G,1,1,5.0
Indiana Fever,PR,C,1,1,32.0
Indiana Fever,PR,F,1,1,14.0
Indiana Fever,PR,G,1,1,3.0
Indiana Fever,PRA,C,1,1,34.0
Indiana Fever,PRA,G,1,1,7.0
Indiana Fever,PTS,C,1,1,28.0
Indiana Fever,PTS,G,1,1,1.0
Indiana Fever,RA,C,1,1,14.0
Indiana Fever,RA,F,1,1,4.0
Indiana Fever,REB,C,1,1,12.0
Indiana Fever,REB,F,1,1,3.0
Indiana Fever,REB,G,2,2,3.0
Las Vegas Aces,3PM,G,2,2,2.0
Las Vegas Aces,AST,G,2,3,4.0
Las Vegas Aces,PA,G,1,1,30.0
Las Vegas Aces,PR,F,1,1,37.0
Las Vegas Aces,PR,G,1,1,30.0
Las Vegas Aces,PRA,G,1,1,33.0
Las Vegas Aces,PTS,C,1,1,19.0
Las Vegas Aces,PTS,F,1,1,26.0
Las Vegas Aces,PTS,G,1,1,27.0
Las Vegas Aces,RA,C,1,1,15.0
Las Vegas Aces,REB,F,1,1,3.0
Las Vegas Aces,REB,G,1,1,0.0
Los Angeles Sparks,3PM,F,2,2,1.5
Los Angeles Sparks,3PM,G,1,1,3.0
Los Angeles Sparks,PA,F,1,1,10.0
Los Angeles Sparks,PA,G,4,4,17.75
Los Angeles Sparks,PR,C,1,1,24.0
Los Angeles Sparks,PR,F,1,1,13.0
Los Angeles Sparks,PR,G,4,5,17.2
Los Angeles Sparks,PRA,C,1,1,27.0
Los Angeles Sparks,PRA,G,4,6,21.1667
Los Angeles Sparks,PTS,C,1,1,13.0
Los Angeles Sparks,PTS,F,1,2,9.0
Los Angeles Sparks,PTS,G,4,5,14.8
Los Angeles Sparks,RA,C,1,1,14.0
Los Angeles Sparks,RA,G,3,4,7.5
Los Angeles Sparks,REB,C,1,1,11.0
Los Angeles Sparks,REB,F,2,2,6.0
Los Angeles Sparks,REB,G,4,4,3.5
Minnesota Lynx,3PM,G,3,4,2.25
Minnesota Lynx,AST,F,1,1,12.0
Minnesota Lynx,PA,F,1,1,28.0
Minnesota Lynx,PR,G,1,1,14.0
Minnesota Lynx,PRA,F,1,1,40.0
Minnesota Lynx,PTS,F,2,2,13.5
Minnesota Lynx,RA,F,1,1,20.0
Minnesota Lynx,REB,C,1,1,2.0
Minnesota Lynx,REB,F,1,1,8.0
Minnesota Lynx,REB,G,3,3,2.0
New York Liberty,3PM,G,1,2,3.0
New York Liberty,AST,F,1,1,6.0
