date,player,game,market,side,line,movement,steam,reverse_move
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,AST,UNDER,2.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PA,OVER,12.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PA,UNDER,12.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PR,OVER,12.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PR,UNDER,12.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PRA,OVER,15.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PRA,UNDER,15.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PTS,OVER,9.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PTS,OVER,10.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,PTS,UNDER,9.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,RA,OVER,5.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,RA,UNDER,5.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,REB,OVER,2.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,REB,OVER,3.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,REB,UNDER,2.5,0.0,False,False
2026-08-13,Ariel Atkins,Los Angeles Sparks @ New York Liberty,REB,UNDER,3.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,3PM,OVER,0.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,3PM,UNDER,0.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,AST,OVER,3.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,AST,UNDER,3.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PA,OVER,26.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PA,UNDER,26.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PR,OVER,30.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PR,OVER,31.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PR,UNDER,30.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PR,UNDER,31.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PRA,OVER,34.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PRA,UNDER,34.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PTS,OVER,22.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PTS,OVER,23.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PTS,OVER,24.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,PTS,UNDER,22.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,RA,OVER,11.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,RA,UNDER,11.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,REB,OVER,7.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,REB,OVER,8.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,REB,UNDER,7.5,0.0,False,False
2026-08-13,Breanna Stewart,Los Angeles Sparks @ New York Liberty,REB,UNDER,8.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,3PM,OVER,0.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,3PM,UNDER,0.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,PR,OVER,15.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,PR,UNDER,15.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,PTS,OVER,9.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,PTS,OVER,10.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,PTS,UNDER,9.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,REB,OVER,5.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,REB,OVER,6.5,0.0,False,False
2026-08-13,Cameron Brink,Los Angeles Sparks @ New York Liberty,REB,UNDER,5.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,AST,OVER,2.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,AST,UNDER,2.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PA,OVER,16.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PA,UNDER,16.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PR,OVER,20.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PR,UNDER,20.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PRA,OVER,23.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PRA,UNDER,23.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PTS,OVER,13.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PTS,OVER,14.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,PTS,UNDER,13.5,0.0,False,False
2026-08-13,Dearica Hamby,Los Angeles Sparks @ New York Liberty,RA,OVER,9.5,0.0,False,False
