archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,snapshot_count,book_count,books,opening_line,opening_odds,latest_line,latest_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,elapsed_minutes,movement_class,steam_detected,reverse_move_vs_knn,first_moving_book,knn_implied_side
791,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-114.0,1,0.53271,0.771436,0.723902,0.844237,0.926562,0.786882,67,1,0,,21.5,-114.0,21.5,-114.0,21.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
813,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-127.5,1,0.56044,0.769107,0.727222,0.85348,0.877259,0.778275,68,1,0,,21.5,-124.5,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
815,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-112.0,1,0.528302,0.785663,0.744384,0.842767,0.870738,0.777304,69,1,0,,25.5,-122.67,25.5,-122.67,25.5,-122.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
816,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-118.5,1,0.542334,0.776812,0.730136,0.847445,0.98,0.811331,70,1,0,,17.5,-114.0,17.5,-114.0,17.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
817,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-107.5,1,0.518072,0.792096,0.744826,0.839357,0.93421,0.799093,71,1,0,,21.5,-114.0,21.5,-114.0,21.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
836,2026-07-30,401857099,Natasha Howard,PR,UNDER,19.5,-115.0,1,0.534884,0.814833,0.775329,0.844961,0.814309,0.774782,72,1,0,,19.5,-115.0,19.5,-115.0,19.5,-115.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
831,2026-07-30,401857100,Charlisse Leger-Walker,PR,UNDER,9.5,-119.0,0,0.543379,0.763941,0.719173,0.847793,0.98,0.810098,73,1,0,,9.5,-119.0,9.5,-119.0,9.5,-119.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
835,2026-07-30,401857100,Charlisse Leger-Walker,PRA,UNDER,13.5,-112.0,1,0.528302,0.321748,0.421938,0.620545,0.072371,0.349739,74,1,0,,13.5,-111.5,13.5,-111.5,13.5,-111.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
838,2026-07-30,401857100,Charlisse Leger-Walker,PA,UNDER,10.5,-114.0,0,0.53271,0.331506,0.426214,0.622015,0.167064,0.39084,75,1,0,,10.5,-110.0,10.5,-110.0,10.5,-110.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
874,2026-07-30,401857100,Kamilla Cardoso,REB,UNDER,7.5,-115.33,1,0.535597,0.345835,0.428604,0.622977,0.08017,0.369497,76,1,0,,8.5,-103.5,8.5,-103.5,8.5,-103.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
