archive_date,archive_game,archive_index,candidate_dates,candidate_event_ids,detail,player,status
,,273,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,273,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,273,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,273,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,278,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,278,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,278,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,278,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,278,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,278,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,278,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,278,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,282,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,282,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,282,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,282,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,282,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,282,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,282,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,282,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,296,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,296,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,296,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,296,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,296,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,296,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,296,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
2026-07-16,Portland Fire @ Washington Mystics,296,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,302,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,302,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,302,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,302,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,302,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,302,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
