team,stat,games_sampled,player_observations,allowed_avg,league_avg,defense_index,last5_allowed_avg,last10_allowed_avg,home_allowed_avg,away_allowed_avg,allowed_percentile,defense_strength_percentile
Minnesota Lynx,PRA,1,1,40.0,21.8028,1.8346,40.0,40.0,40.0,,100.0,0.0
Minnesota Lynx,PTS,3,3,14.0,13.8718,1.0092,14.0,14.0,14.0,,58.82,41.18
Minnesota Lynx,RA,1,1,20.0,9.4211,2.1229,20.0,20.0,20.0,,100.0,0.0
Minnesota Lynx,REB,5,6,2.8333,4.8158,0.5883,2.8333,2.8333,3.2,1.0,17.65,82.35
New York Liberty,3PM,3,4,2.75,1.75,1.5714,2.75,2.75,2.0,3.0,93.75,6.25
New York Liberty,AST,6,9,5.0,3.9733,1.2584,5.2857,5.0,4.0,5.2857,81.25,18.75
New York Liberty,PA,4,4,19.0,17.3333,1.0962,19.0,19.0,5.0,23.6667,82.35,17.65
New York Liberty,PR,3,4,13.0,18.1538,0.7161,13.0,13.0,,13.0,35.29,64.71
New York Liberty,PRA,4,4,22.25,21.8028,1.0205,22.25,22.25,,22.25,52.94,47.06
New York Liberty,PTS,3,3,13.3333,13.8718,0.9612,13.3333,13.3333,4.0,18.0,47.06,52.94
New York Liberty,RA,2,5,7.8,9.4211,0.8279,7.8,7.8,7.0,9.0,33.33,66.67
New York Liberty,REB,4,7,4.8571,4.8158,1.0086,4.8571,4.8571,6.0,4.0,58.82,41.18
Phoenix Mercury,3PM,4,4,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,25.0,75.0
Phoenix Mercury,AST,3,3,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,93.75,6.25
Phoenix Mercury,PA,2,3,17.6667,17.3333,1.0192,17.6667,17.6667,10.0,21.5,70.59,29.41
Phoenix Mercury,PR,6,8,17.125,18.1538,0.9433,14.3333,17.125,12.25,22.0,52.94,47.06
Phoenix Mercury,PRA,4,5,20.4,21.8028,0.9357,20.4,20.4,14.0,24.6667,23.53,76.47
Phoenix Mercury,PTS,4,6,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,70.59,29.41
Phoenix Mercury,RA,2,2,12.5,9.4211,1.3268,12.5,12.5,,12.5,86.67,13.33
Phoenix Mercury,REB,3,3,2.6667,4.8158,0.5537,2.6667,2.6667,2.5,3.0,11.76,88.24
Portland Fire,3PM,1,1,0.0,1.75,0.0,0.0,0.0,0.0,,12.5,87.5
Portland Fire,AST,6,8,4.875,3.9733,1.2269,4.3333,4.875,3.75,6.0,62.5,37.5
Portland Fire,PA,4,6,17.3333,17.3333,1.0,17.3333,17.3333,20.5,15.75,58.82,41.18
Portland Fire,PR,4,6,22.1667,18.1538,1.221,22.1667,22.1667,21.5,22.5,88.24,11.76
Portland Fire,PRA,3,5,21.8,21.8028,0.9999,21.8,21.8,13.0,24.0,47.06,52.94
Portland Fire,PTS,3,6,15.0,13.8718,1.0813,15.0,15.0,12.0,18.0,70.59,29.41
Portland Fire,RA,3,5,14.2,9.4211,1.5073,14.2,14.2,13.25,18.0,93.33,6.67
Portland Fire,REB,4,5,8.4,4.8158,1.7443,8.4,8.4,9.5,7.6667,94.12,5.88
Seattle Storm,3PM,7,9,2.1111,1.75,1.2063,1.6667,2.1111,0.75,3.2,81.25,18.75
Seattle Storm,AST,5,7,2.4286,3.9733,0.6112,2.4286,2.4286,1.25,4.0,12.5,87.5
Seattle Storm,PA,4,5,28.0,17.3333,1.6154,28.0,28.0,33.0,26.75,100.0,0.0
Seattle Storm,PR,5,9,20.3333,18.1538,1.1201,20.3333,20.3333,20.5,20.2,70.59,29.41
Seattle Storm,PRA,4,8,26.125,21.8028,1.1982,26.125,26.125,22.25,30.0,94.12,5.88
Seattle Storm,PTS,5,9,16.4444,13.8718,1.1855,16.4444,16.4444,19.5,15.5714,76.47,23.53
Seattle Storm,RA,3,3,4.3333,9.4211,0.46,4.3333,4.3333,4.3333,,13.33,86.67
Seattle Storm,REB,8,13,4.8462,4.8158,1.0063,5.5,4.8462,3.8,5.5,52.94,47.06
TEAM COOP,3PM,1,2,0.5,1.75,0.2857,0.5,0.5,0.5,,18.75,81.25
TEAM COOP,AST,1,1,5.0,3.9733,1.2584,5.0,5.0,5.0,,81.25,18.75
TEAM COOP,PA,1,1,11.0,17.3333,0.6346,11.0,11.0,11.0,,23.53,76.47
TEAM COOP,PR,1,1,11.0,18.1538,0.6059,11.0,11.0,11.0,,11.76,88.24
TEAM COOP,PRA,1,1,14.0,21.8028,0.6421,14.0,14.0,14.0,,17.65,82.35
TEAM COOP,PTS,1,1,8.0,13.8718,0.5767,8.0,8.0,8.0,,17.65,82.35
TEAM COOP,RA,1,2,2.5,9.4211,0.2654,2.5,2.5,2.5,,6.67,93.33
TEAM COOP,REB,1,2,2.0,4.8158,0.4153,2.0,2.0,2.0,,5.88,94.12
TEAM SPOON,3PM,1,1,0.0,1.75,0.0,0.0,0.0,,0.0,12.5,87.5
TEAM SPOON,PA,1,1,8.0,17.3333,0.4615,8.0,8.0,,8.0,11.76,88.24
TEAM SPOON,PR,1,1,12.0,18.1538,0.661,12.0,12.0,,12.0,17.65,82.35
TEAM SPOON,PRA,1,1,12.0,21.8028,0.5504,12.0,12.0,,12.0,11.76,88.24
TEAM SPOON,PTS,1,1,8.0,13.8718,0.5767,8.0,8.0,,8.0,17.65,82.35
TEAM SPOON,REB,1,1,13.0,4.8158,2.6995,13.0,13.0,,13.0,100.0,0.0
Toronto Tempo,3PM,4,5,3.0,1.75,1.7143,3.0,3.0,2.3333,4.0,100.0,0.0
Toronto Tempo,AST,4,5,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,25.0,75.0
Toronto Tempo,PA,2,2,16.0,17.3333,0.9231,16.0,16.0,15.0,17.0,29.41,70.59
Toronto Tempo,PR,6,7,16.2857,18.1538,0.8971,18.0,16.2857,13.6,23.0,47.06,52.94
Toronto Tempo,PRA,4,5,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,82.35,17.65
Toronto Tempo,PTS,3,4,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,29.41,70.59
Toronto Tempo,RA,3,3,7.6667,9.4211,0.8138,7.6667,7.6667,10.0,6.5,26.67,73.33
Toronto Tempo,REB,6,9,5.0,4.8158,1.0383,5.375,5.0,5.375,2.0,64.71,35.29
Washington Mystics,3PM,3,3,1.6667,1.75,0.9524,1.6667,1.6667,2.0,1.5,62.5,37.5
Washington Mystics,AST,3,4,4.0,3.9733,1.0067,4.0,4.0,3.6667,5.0,56.25,43.75
Washington Mystics,PA,2,4,18.25,17.3333,1.0529,18.25,18.25,18.25,,76.47,23.53
Washington Mystics,PR,1,3,12.3333,18.1538,0.6794,12.3333,12.3333,12.3333,,29.41,70.59
Washington Mystics,PRA,2,4,22.5,21.8028,1.032,22.5,22.5,22.5,,58.82,41.18
Washington Mystics,PTS,2,4,8.25,13.8718,0.5947,8.25,8.25,11.0,5.5,23.53,76.47
Washington Mystics,RA,2,3,9.0,9.4211,0.9553,9.0,9.0,5.5,16.0,60.0,40.0
Washington Mystics,REB,6,7,3.7143,4.8158,0.7713,3.5,3.7143,3.8,3.5,29.41,70.59
