archive_date,player,archive_game,archive_away,archive_home,classification,warehouse_date,warehouse_game,warehouse_away,warehouse_home,warehouse_game_id,candidate_dates,note,outcome,actual_source
2026-07-13,Allisha Gray,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,LOSS,player_game_log_warehouse
2026-07-13,Kayla McBride,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Naz Hillmon,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Alyssa Thomas,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,LOSS,player_game_log_warehouse
2026-07-13,Courtney Williams,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-14,Shakira Austin,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Nneka Ogwumike,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-14,Georgia Amoore,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,WIN,player_game_log_warehouse
2026-07-13,Alyssa Thomas,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,LOSS,player_game_log_warehouse
2026-07-13,Kayla McBride,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-14,Kiki Iriafen,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,LOSS,player_game_log_warehouse
2026-07-14,Georgia Amoore,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Nia Coffey,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Alyssa Thomas,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,LOSS,player_game_log_warehouse
2026-07-14,Kiki Iriafen,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,WIN,player_game_log_warehouse
2026-07-13,Kayla McBride,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-14,Carla Leite,Portland Fire @ Connecticut Sun,portland fire,connecticut sun,EXACT_MATCH,2026-07-14,Fire @ Sun,portland fire,connecticut sun,401857066,,,LOSS,player_game_log_warehouse
2026-07-14,Kiki Iriafen,Washington Mystics @ Toronto Tempo,washington mystics,toronto tempo,EXACT_MATCH,2026-07-14,Mystics @ Tempo,washington mystics,toronto tempo,401857067,,,LOSS,player_game_log_warehouse
2026-07-13,Courtney Williams,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Kayla McBride,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Dearica Hamby,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,LOSS,player_game_log_warehouse
2026-07-13,Ariel Atkins,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Rhyne Howard,Los Angeles Sparks @ Atlanta Dream,los angeles sparks,atlanta dream,EXACT_MATCH,2026-07-13,Sparks @ Dream,los angeles sparks,atlanta dream,401857064,,,WIN,player_game_log_warehouse
2026-07-13,Natasha Howard,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,WIN,player_game_log_warehouse
2026-07-13,Kahleah Copper,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,LOSS,player_game_log_warehouse
