generated_at_utc,promotion_state,forward_predictions_total,graded_predictions,pending_predictions,explicit_close_predictions,explicit_clv_coverage_pct,v5_brier,market_brier,v5_ece_5bin,v5_accuracy,roi,production_ready,canonical_forward_markets_total,canonical_graded_markets,canonical_pending_markets,snapshot_ledger_rows,snapshot_graded_rows
2026-08-11T02:53:04.670831+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T04:07:00.302585+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T04:54:55.044035+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T05:41:27.097301+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T06:34:53.132234+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T06:35:50.789500+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T07:52:05.992520+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T07:53:48.813662+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T09:37:31.478025+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T09:42:02.924069+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T10:30:52.400934+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T10:33:59.285055+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T11:27:32.763925+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T11:29:58.796251+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T12:29:19.940451+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T14:06:04.631579+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T14:06:56.851351+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T15:34:37.899143+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T15:37:52.593143+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T16:31:15.422704+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T16:34:39.012862+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T17:36:11.570911+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T17:40:06.863161+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T18:32:13.050848+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T18:35:25.890115+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T19:42:53.607622+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T19:46:10.991952+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T20:26:52.512247+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T21:28:18.919921+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T21:29:59.254377+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T22:24:15.987322+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T22:25:21.377395+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T23:23:13.173603+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-11T23:24:41.061819+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T00:12:09.690797+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T00:44:02.321856+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T03:09:37.016441+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T03:12:19.626633+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T05:18:59.749340+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T05:19:29.802376+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T06:59:00.165866+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T06:59:40.911839+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T08:52:35.144185+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T08:53:14.497438+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T10:41:38.583539+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T10:42:42.068054+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-12T11:31:02.597340+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
