archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,market_implied_probability,model_score,score_band,prior_games,prior_actual_mean,prior_actual_std,prior_actual_min,prior_actual_max,rolling3_actual_mean,rolling5_actual_mean,rolling10_actual_mean,rolling5_actual_std,rolling10_actual_std,rolling5_trend_slope,rolling10_trend_slope,line_minus_prior_mean,historical_hit_rate_at_current_line,historical_hit_rate_l5_at_current_line,historical_hit_rate_l10_at_current_line,target_actual,target_win,canonical_outcome,certification
51,2026-07-12,401857062,Natasha Cloud,PTS,UNDER,11.5,-131.0,0.5670995670995671,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
62,2026-07-12,401857062,Sydney Taylor,3PM,OVER,1.5,-172.5,0.6330275229357798,,UNKNOWN,0,,,,,,,,,,,,,,,,2.0,1,WIN,PRIMARY_CERTIFIED
49,2026-07-12,401857063,A'ja Wilson,3PM,OVER,0.5,-172.4,0.6328928046989721,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,0,LOSS,PRIMARY_CERTIFIED
6,2026-07-12,401857063,A'ja Wilson,AST,UNDER,3.5,-167.0,0.6254681647940075,,UNKNOWN,0,,,,,,,,,,,,,,,,2.0,1,WIN,PRIMARY_CERTIFIED
29,2026-07-12,401857063,A'ja Wilson,PR,OVER,35.5,-111.5,0.5271867612293144,,UNKNOWN,0,,,,,,,,,,,,,,,,32.0,0,LOSS,PRIMARY_CERTIFIED
31,2026-07-12,401857063,A'ja Wilson,PRA,OVER,38.5,-116.0,0.5370370370370371,,UNKNOWN,0,,,,,,,,,,,,,,,,34.0,0,LOSS,PRIMARY_CERTIFIED
40,2026-07-12,401857063,A'ja Wilson,RA,OVER,12.5,-112.5,0.5294117647058824,,UNKNOWN,0,,,,,,,,,,,,,,,,14.0,1,WIN,PRIMARY_CERTIFIED
36,2026-07-12,401857063,A'ja Wilson,REB,OVER,9.5,-112.8,0.5300751879699248,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,1,WIN,PRIMARY_CERTIFIED
21,2026-07-12,401857063,Aliyah Boston,PTS,OVER,16.5,-109.8,0.5233555767397521,,UNKNOWN,0,,,,,,,,,,,,,,,,19.0,1,WIN,PRIMARY_CERTIFIED
47,2026-07-12,401857063,Aliyah Boston,RA,UNDER,11.5,101.0,0.4975124378109453,,UNKNOWN,0,,,,,,,,,,,,,,,,15.0,0,LOSS,PRIMARY_CERTIFIED
45,2026-07-12,401857063,Aliyah Boston,RA,UNDER,12.5,-138.0,0.5798319327731093,,UNKNOWN,0,,,,,,,,,,,,,,,,15.0,0,LOSS,PRIMARY_CERTIFIED
17,2026-07-12,401857063,Jackie Young,REB,UNDER,4.5,-157.5,0.6116504854368932,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,1,WIN,PRIMARY_CERTIFIED
18,2026-07-12,401857063,Jewell Loyd,3PM,OVER,1.5,-149.0,0.5983935742971888,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,0,LOSS,PRIMARY_CERTIFIED
20,2026-07-12,401857063,Jewell Loyd,3PM,UNDER,2.5,-209.5,0.6768982229402262,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
1,2026-07-12,401857063,Kelsey Mitchell,3PM,OVER,2.5,-129.67,0.5645926764488178,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
16,2026-07-12,401857063,Kelsey Mitchell,AST,OVER,2.5,-160.33,0.6158721622555986,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
7,2026-07-12,401857063,Kelsey Mitchell,PA,OVER,25.5,-109.0,0.5215311004784688,,UNKNOWN,0,,,,,,,,,,,,,,,,30.0,1,WIN,PRIMARY_CERTIFIED
5,2026-07-12,401857063,Kelsey Mitchell,PR,OVER,23.5,-125.0,0.5555555555555556,,UNKNOWN,0,,,,,,,,,,,,,,,,30.0,1,WIN,PRIMARY_CERTIFIED
3,2026-07-12,401857063,Kelsey Mitchell,PRA,OVER,26.5,-119.33,0.544066019240414,,UNKNOWN,0,,,,,,,,,,,,,,,,33.0,1,WIN,PRIMARY_CERTIFIED
2,2026-07-12,401857063,Kelsey Mitchell,PTS,OVER,21.5,-126.0,0.5575221238938053,,UNKNOWN,0,,,,,,,,,,,,,,,,27.0,1,WIN,PRIMARY_CERTIFIED
8,2026-07-12,401857063,Kelsey Mitchell,PTS,OVER,22.5,-114.0,0.5327102803738317,,UNKNOWN,0,,,,,,,,,,,,,,,,27.0,1,WIN,PRIMARY_CERTIFIED
33,2026-07-12,401857063,NaLyssa Smith,PR,OVER,16.5,-132.0,0.5689655172413793,,UNKNOWN,0,,,,,,,,,,,,,,,,14.0,0,LOSS,PRIMARY_CERTIFIED
10,2026-07-12,401857063,Sophie Cunningham,REB,UNDER,2.5,-135.5,0.5753715498938429,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
64,2026-07-13,401857064,Allisha Gray,3PM,UNDER,1.5,109.5,0.477326968973747,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,0,LOSS,PRIMARY_CERTIFIED
99,2026-07-13,401857064,Allisha Gray,3PM,UNDER,1.5,108.75,0.47904191616766467,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,0,LOSS,PRIMARY_CERTIFIED
131,2026-07-13,401857064,Allisha Gray,PR,UNDER,25.5,-127.0,0.5594713656387665,,UNKNOWN,0,,,,,,,,,,,,,,,,21.0,1,WIN,PRIMARY_CERTIFIED
95,2026-07-13,401857064,Ariel Atkins,REB,OVER,2.5,-159.5,0.6146435452793835,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
129,2026-07-13,401857064,Ariel Atkins,REB,OVER,2.5,-165.5,0.623352165725047,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
132,2026-07-13,401857064,Ariel Atkins,REB,UNDER,3.5,-177.5,0.6396396396396397,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
100,2026-07-13,401857064,Dearica Hamby,AST,UNDER,3.5,-260.0,0.7222222222222222,,UNKNOWN,0,,,,,,,,,,,,,,,,2.0,1,WIN,PRIMARY_CERTIFIED
94,2026-07-13,401857064,Dearica Hamby,PTS,OVER,15.5,-120.0,0.5454545454545454,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,0,LOSS,PRIMARY_CERTIFIED
128,2026-07-13,401857064,Dearica Hamby,PTS,OVER,15.5,-120.75,0.5469988674971688,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,0,LOSS,PRIMARY_CERTIFIED
108,2026-07-13,401857064,Jordin Canada,REB,OVER,3.5,-158.0,0.6124031007751938,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,0,LOSS,PRIMARY_CERTIFIED
66,2026-07-13,401857064,Naz Hillmon,3PM,UNDER,1.5,-203.75,0.6707818930041153,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,1,WIN,PRIMARY_CERTIFIED
102,2026-07-13,401857064,Naz Hillmon,3PM,UNDER,1.5,-199.5,0.666110183639399,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,1,WIN,PRIMARY_CERTIFIED
77,2026-07-13,401857064,Nneka Ogwumike,AST,OVER,2.5,-165.0,0.6226415094339622,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
112,2026-07-13,401857064,Nneka Ogwumike,AST,OVER,2.5,-170.5,0.6303142329020333,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
135,2026-07-13,401857064,Nneka Ogwumike,PA,OVER,19.5,-121.0,0.5475113122171946,,UNKNOWN,0,,,,,,,,,,,,,,,,24.0,1,WIN,PRIMARY_CERTIFIED
137,2026-07-13,401857064,Nneka Ogwumike,PA,OVER,20.5,-112.0,0.5283018867924528,,UNKNOWN,0,,,,,,,,,,,,,,,,24.0,1,WIN,PRIMARY_CERTIFIED
136,2026-07-13,401857064,Nneka Ogwumike,PRA,OVER,28.5,-120.5,0.546485260770975,,UNKNOWN,0,,,,,,,,,,,,,,,,29.0,1,WIN,PRIMARY_CERTIFIED
133,2026-07-13,401857064,Nneka Ogwumike,PTS,OVER,16.5,-115.0,0.5348837209302325,,UNKNOWN,0,,,,,,,,,,,,,,,,19.0,1,WIN,PRIMARY_CERTIFIED
134,2026-07-13,401857064,Nneka Ogwumike,PTS,OVER,17.5,-51.75,0.34102141680395387,,UNKNOWN,0,,,,,,,,,,,,,,,,19.0,1,WIN,PRIMARY_CERTIFIED
75,2026-07-13,401857064,Rhyne Howard,PA,UNDER,23.5,-110.5,0.5249406175771971,,UNKNOWN,0,,,,,,,,,,,,,,,,14.0,1,WIN,PRIMARY_CERTIFIED
110,2026-07-13,401857064,Rhyne Howard,PA,UNDER,23.5,-114.5,0.5337995337995338,,UNKNOWN,0,,,,,,,,,,,,,,,,14.0,1,WIN,PRIMARY_CERTIFIED
84,2026-07-13,401857064,Rhyne Howard,PR,UNDER,24.5,-113.0,0.5305164319248826,,UNKNOWN,0,,,,,,,,,,,,,,,,16.0,1,WIN,PRIMARY_CERTIFIED
117,2026-07-13,401857064,Rhyne Howard,PR,UNDER,24.5,-117.0,0.5391705069124424,,UNKNOWN,0,,,,,,,,,,,,,,,,16.0,1,WIN,PRIMARY_CERTIFIED
74,2026-07-13,401857064,Rhyne Howard,PRA,UNDER,28.5,-122.0,0.5495495495495496,,UNKNOWN,0,,,,,,,,,,,,,,,,19.0,1,WIN,PRIMARY_CERTIFIED
109,2026-07-13,401857064,Rhyne Howard,PRA,UNDER,28.5,-122.67,0.5509049265729554,,UNKNOWN,0,,,,,,,,,,,,,,,,19.0,1,WIN,PRIMARY_CERTIFIED
