player_id,opponent,minutes,points,rebounds,assists,steals,blocks,turnovers,games
pl_52f6711f33506794,,9.454545454545455,4.0,1.3636363636363635,0.2727272727272727,0.2727272727272727,0.0,0.5454545454545454,15
pl_531f83caa0cb9b98,,29.565217391304348,11.130434782608695,5.956521739130435,2.0869565217391304,0.9130434782608695,1.0434782608695652,1.9130434782608696,25
pl_538cccd243d89261,,32.752,13.576,8.216,8.48,1.504,0.416,3.496,132
pl_53d3d5182e1e0e97,,16.59090909090909,7.090909090909091,2.909090909090909,1.3636363636363635,0.5,0.13636363636363635,1.6363636363636365,26
pl_55b8f3d473cff00c,,6.444444444444445,2.6666666666666665,0.5555555555555556,0.7777777777777778,0.0,0.1111111111111111,0.7777777777777778,22
pl_5718a935043c616f,,31.79090909090909,17.37272727272727,4.590909090909091,5.5,1.0636363636363637,0.38181818181818183,2.672727272727273,120
pl_57a3cbb466568a51,,15.904761904761905,4.333333333333333,1.8095238095238095,2.5714285714285716,0.7142857142857143,0.047619047619047616,1.1904761904761905,30
pl_5801b83252dea443,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4
pl_5822c4230f9d0740,,3.5238095238095237,1.0,0.9047619047619048,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.2857142857142857,23
pl_58d8ddd50dc5e9ea,,22.80314960629921,9.251968503937007,5.866141732283465,0.8110236220472441,0.6220472440944882,0.7716535433070866,1.1181102362204725,128
pl_58e65e06a24c33d5,,29.083333333333332,15.55952380952381,7.559523809523809,1.9761904761904763,0.8214285714285714,0.4642857142857143,1.7261904761904763,84
pl_5c39c02174b61a06,,25.208695652173912,7.721739130434782,5.373913043478261,1.7478260869565216,0.591304347826087,0.33043478260869563,1.1130434782608696,116
pl_5de7904f5b7c5c6f,,2.6,0.0,0.4,0.4,0.0,0.0,0.2,11
pl_5e971283146abdfe,,1.75,0.5,0.25,0.0,0.0,0.0,0.25,5
pl_5eb4b0ef5ec85d61,,14.915492957746478,5.211267605633803,1.380281690140845,2.028169014084507,0.36619718309859156,0.18309859154929578,0.9154929577464789,72
