player_id,season,team,source_player_id,player,team_abbr,position,source_system,source_file
pl_a8c6901f4d81a98e,2025,Mercury,2998938,Kahleah Copper,PHX,G,sportsdataverse,player_profiles_2025.csv
pl_a8c6901f4d81a98e,2026,Mercury,2998938,Kahleah Copper,PHX,G,espn_api,player_profiles_2026.csv
pl_a8c6901f4d81a98e,2026,TEAM COOP,2998938,Kahleah Copper,COOP,G,espn_api,player_profiles_2026.csv
pl_a9f0686367871e4e,2024,Liberty,2998928,Breanna Stewart,NY,F,sportsdataverse,player_profiles_2024.csv
pl_a9f0686367871e4e,2024,Team USA,2998928,Breanna Stewart,USA,F,sportsdataverse,player_profiles_2024.csv
pl_a9f0686367871e4e,2025,Liberty,2998928,Breanna Stewart,NY,F,sportsdataverse,player_profiles_2025.csv
pl_a9f0686367871e4e,2025,TEAM COLLIER,2998928,Breanna Stewart,COL,F,sportsdataverse,player_profiles_2025.csv
pl_a9f0686367871e4e,2026,Liberty,2998928,Breanna Stewart,NY,F,espn_api,player_profiles_2026.csv
pl_a9f0686367871e4e,2026,TEAM COOP,2998928,Breanna Stewart,COOP,F,espn_api,player_profiles_2026.csv
pl_aa85350eb78f5bb0,2026,Dream,5108587,Madina Okot,ATL,C,espn_api,player_profiles_2026.csv
pl_ac7ebd99356af01a,2024,Sky,2566186,Rachel Banham,CHI,G,sportsdataverse,player_profiles_2024.csv
pl_ac7ebd99356af01a,2024,Sun,2566186,Rachel Banham,CON,G,sportsdataverse,player_profiles_2024.csv
pl_ac7ebd99356af01a,2025,Sky,2566186,Rachel Banham,CHI,G,sportsdataverse,player_profiles_2025.csv
pl_ac7ebd99356af01a,2026,Sky,2566186,Rachel Banham,CHI,G,espn_api,player_profiles_2026.csv
pl_ad523ebd390442fa,2024,Wings,3916514,Kalani Brown,DAL,C,sportsdataverse,player_profiles_2024.csv
pl_ad523ebd390442fa,2025,Mercury,3916514,Kalani Brown,PHX,C,sportsdataverse,player_profiles_2025.csv
pl_ad6db34730115349,2024,Sky,4281190,Dana Evans,CHI,G,sportsdataverse,player_profiles_2024.csv
pl_ad6db34730115349,2025,Aces,4281190,Dana Evans,LV,G,sportsdataverse,player_profiles_2025.csv
pl_ad6db34730115349,2026,Aces,4281190,Dana Evans,LV,G,espn_api,player_profiles_2026.csv
pl_ad864595548de955,2025,TEAM COLLIER,4433730,Paige Bueckers,COL,G,sportsdataverse,player_profiles_2025.csv
pl_ad864595548de955,2025,Wings,4433730,Paige Bueckers,DAL,G,sportsdataverse,player_profiles_2025.csv
pl_ad864595548de955,2026,TEAM COOP,4433730,Paige Bueckers,COOP,G,espn_api,player_profiles_2026.csv
pl_ad864595548de955,2026,Wings,4433730,Paige Bueckers,DAL,G,espn_api,player_profiles_2026.csv
pl_aea7f14c419b1385,2024,Aces,1004,Sydney Colson,LV,G,sportsdataverse,player_profiles_2024.csv
pl_aea7f14c419b1385,2025,Fever,1004,Sydney Colson,IND,G,sportsdataverse,player_profiles_2025.csv
pl_aef6e4dc2c690201,2026,Dream,3907713,Maite Cazorla,ATL,G,espn_api,player_profiles_2026.csv
