candidate_id,player,archive_date,archive_game,stat,side,line,classification,candidate_count,top_candidate_date,top_candidate_game,top_candidate_game_id,top_evidence_score,top_evidence
2026-07-31|azzi fudd|dallas wings @ washington mystics|ast|over|1.5||-188.5,Azzi Fudd,2026-07-31,Dallas Wings @ Washington Mystics,AST,OVER,1.5,low_confidence,1,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|aliyah boston|indiana fever @ portland fire|reb|under|8.5||-138.25,Aliyah Boston,2026-07-31,Indiana Fever @ Portland Fire,REB,UNDER,8.5,low_confidence,2,2026-07-28,Fever @ Storm,401857094,30,matchup tokens: fever | -3 day date drift
2026-07-31|jessica shepard|dallas wings @ washington mystics|ast|over|4.5||-142.5,Jessica Shepard,2026-07-31,Dallas Wings @ Washington Mystics,AST,OVER,4.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|awa fam|seattle storm @ atlanta dream|pa|under|13.5||-114.0,Awa Fam,2026-07-31,Seattle Storm @ Atlanta Dream,PA,UNDER,13.5,low_confidence,1,2026-07-28,Fever @ Storm,401857094,30,matchup tokens: storm | -3 day date drift
2026-07-31|awa fam|seattle storm @ atlanta dream|pts|under|11.5||-126.75,Awa Fam,2026-07-31,Seattle Storm @ Atlanta Dream,PTS,UNDER,11.5,low_confidence,1,2026-07-28,Fever @ Storm,401857094,30,matchup tokens: storm | -3 day date drift
2026-07-31|arike ogunbowale|dallas wings @ washington mystics|reb|over|2.5||-128.5,Arike Ogunbowale,2026-07-31,Dallas Wings @ Washington Mystics,REB,OVER,2.5,low_confidence,1,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|aliyah boston|indiana fever @ portland fire|3pm|under|1.5||-286.5,Aliyah Boston,2026-07-31,Indiana Fever @ Portland Fire,3PM,UNDER,1.5,low_confidence,2,2026-07-28,Fever @ Storm,401857094,30,matchup tokens: fever | -3 day date drift
2026-07-31|arike ogunbowale|dallas wings @ washington mystics|ra|over|5.5||-160.0,Arike Ogunbowale,2026-07-31,Dallas Wings @ Washington Mystics,RA,OVER,5.5,low_confidence,1,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|paige bueckers|dallas wings @ washington mystics|pra|under|30.5||-122.0,Paige Bueckers,2026-07-31,Dallas Wings @ Washington Mystics,PRA,UNDER,30.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|paige bueckers|dallas wings @ washington mystics|pa|under|26.5||-130.0,Paige Bueckers,2026-07-31,Dallas Wings @ Washington Mystics,PA,UNDER,26.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
