row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
218,2026-07-15|nia coffey|los angeles sparks @ minnesota lynx|3pm|under|1.5||-169.67,2026-07-15,Nia Coffey,Los Angeles Sparks @ Minnesota Lynx,3PM,UNDER,1.5,LOSS,graded,final outcome LOSS,
219,2026-07-15|courtney williams|los angeles sparks @ minnesota lynx|pa|under|19.5||-114.5,2026-07-15,Courtney Williams,Los Angeles Sparks @ Minnesota Lynx,PA,UNDER,19.5,LOSS,graded,final outcome LOSS,
220,2026-07-15|nia coffey|los angeles sparks @ minnesota lynx|pr|under|12.5||-110.5,2026-07-15,Nia Coffey,Los Angeles Sparks @ Minnesota Lynx,PR,UNDER,12.5,LOSS,graded,final outcome LOSS,
221,2026-07-15|shakira austin|portland fire @ washington mystics|pa|under|17.5||-4.5,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,UNDER,17.5,LOSS,graded,final outcome LOSS,
222,2026-07-15|nia coffey|los angeles sparks @ minnesota lynx|reb|under|5.5||-126.33,2026-07-15,Nia Coffey,Los Angeles Sparks @ Minnesota Lynx,REB,UNDER,5.5,WIN,graded,final outcome WIN,
223,2026-07-15|natisha hiedeman|seattle storm @ chicago sky|ast|under|4.5||-131.67,2026-07-15,Natisha Hiedeman,Seattle Storm @ Chicago Sky,AST,UNDER,4.5,WIN,graded,final outcome WIN,
224,2026-07-15|aliyah boston|golden state valkyries @ indiana fever|pra|over|27.5||-129.0,2026-07-15,Aliyah Boston,Golden State Valkyries @ Indiana Fever,PRA,OVER,27.5,LOSS,graded,final outcome LOSS,
225,2026-07-15|aliyah boston|golden state valkyries @ indiana fever|reb|over|8.5||-148.5,2026-07-15,Aliyah Boston,Golden State Valkyries @ Indiana Fever,REB,OVER,8.5,LOSS,graded,final outcome LOSS,
226,2026-07-15|dominique malonga|seattle storm @ chicago sky|pra|under|28.5||-118.0,2026-07-15,Dominique Malonga,Seattle Storm @ Chicago Sky,PRA,UNDER,28.5,LOSS,graded,final outcome LOSS,
227,2026-07-15|azura stevens|seattle storm @ chicago sky|pra|under|23.5||-108.0,2026-07-15,Azura Stevens,Seattle Storm @ Chicago Sky,PRA,UNDER,23.5,LOSS,graded,final outcome LOSS,
228,2026-07-15|gabby williams|golden state valkyries @ indiana fever|ra|under|5.5||-136.0,2026-07-15,Gabby Williams,Golden State Valkyries @ Indiana Fever,RA,UNDER,5.5,WIN,graded,final outcome WIN,
229,2026-07-15|kamilla cardoso|seattle storm @ chicago sky|reb|under|8.5||-103.67,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,REB,UNDER,8.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
230,2026-07-15|courtney williams|los angeles sparks @ minnesota lynx|pra|under|25.5||-130.0,2026-07-15,Courtney Williams,Los Angeles Sparks @ Minnesota Lynx,PRA,UNDER,25.5,WIN,graded,final outcome WIN,
231,2026-07-15|kayla mcbride|los angeles sparks @ minnesota lynx|pts|over|18.5||-105.25,2026-07-15,Kayla McBride,Los Angeles Sparks @ Minnesota Lynx,PTS,OVER,18.5,WIN,graded,final outcome WIN,
232,2026-07-15|flau'jae johnson|seattle storm @ chicago sky|reb|under|5.5||-131.67,2026-07-15,Flau'jae Johnson,Seattle Storm @ Chicago Sky,REB,UNDER,5.5,LOSS,graded,final outcome LOSS,
233,2026-07-15|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-116.5,2026-07-15,Azzi Fudd,New York Liberty @ Dallas Wings,PA,UNDER,16.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
234,2026-07-15|kamilla cardoso|seattle storm @ chicago sky|ra|under|11.5||-119.5,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,RA,UNDER,11.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
235,2026-07-15|kayla mcbride|los angeles sparks @ minnesota lynx|pr|over|21.5||-118.5,2026-07-15,Kayla McBride,Los Angeles Sparks @ Minnesota Lynx,PR,OVER,21.5,WIN,graded,final outcome WIN,
236,2026-07-15|courtney vandersloot|seattle storm @ chicago sky|pa|under|13.5||-114.0,2026-07-15,Courtney Vandersloot,Seattle Storm @ Chicago Sky,PA,UNDER,13.5,LOSS,graded,final outcome LOSS,
237,2026-07-15|courtney vandersloot|seattle storm @ chicago sky|pra|under|16.5||-120.0,2026-07-15,Courtney Vandersloot,Seattle Storm @ Chicago Sky,PRA,UNDER,16.5,WIN,graded,final outcome WIN,
238,2026-07-15|nia coffey|los angeles sparks @ minnesota lynx|pa|under|9.5||-135.0,2026-07-15,Nia Coffey,Los Angeles Sparks @ Minnesota Lynx,PA,UNDER,9.5,LOSS,graded,final outcome LOSS,
239,2026-07-15|awa fam|seattle storm @ chicago sky|pts|under|12.5||-133.0,2026-07-15,Awa Fam,Seattle Storm @ Chicago Sky,PTS,UNDER,12.5,LOSS,graded,final outcome LOSS,
240,2026-07-15|courtney vandersloot|seattle storm @ chicago sky|pts|under|9.5||-154.0,2026-07-15,Courtney Vandersloot,Seattle Storm @ Chicago Sky,PTS,UNDER,9.5,WIN,graded,final outcome WIN,
241,2026-07-15|dominique malonga|seattle storm @ chicago sky|pa|under|19.5||-125.0,2026-07-15,Dominique Malonga,Seattle Storm @ Chicago Sky,PA,UNDER,19.5,LOSS,graded,final outcome LOSS,
242,2026-07-15|awa fam|seattle storm @ chicago sky|pr|under|17.5||-109.0,2026-07-15,Awa Fam,Seattle Storm @ Chicago Sky,PR,UNDER,17.5,LOSS,graded,final outcome LOSS,
243,2026-07-15|awa fam|seattle storm @ chicago sky|pa|under|14.5||-119.0,2026-07-15,Awa Fam,Seattle Storm @ Chicago Sky,PA,UNDER,14.5,LOSS,graded,final outcome LOSS,
244,2026-07-15|veronica burton|golden state valkyries @ indiana fever|3pm|under|1.5||-240.67,2026-07-15,Veronica Burton,Golden State Valkyries @ Indiana Fever,3PM,UNDER,1.5,WIN,graded,final outcome WIN,
245,2026-07-15|kayla mcbride|los angeles sparks @ minnesota lynx|pra|over|24.5||-115.5,2026-07-15,Kayla McBride,Los Angeles Sparks @ Minnesota Lynx,PRA,OVER,24.5,WIN,graded,final outcome WIN,
246,2026-07-15|courtney williams|los angeles sparks @ minnesota lynx|pts|under|15.5||-117.0,2026-07-15,Courtney Williams,Los Angeles Sparks @ Minnesota Lynx,PTS,UNDER,15.5,LOSS,graded,final outcome LOSS,
247,2026-07-15|dominique malonga|seattle storm @ chicago sky|pts|under|17.5||-121.67,2026-07-15,Dominique Malonga,Seattle Storm @ Chicago Sky,PTS,UNDER,17.5,WIN,graded,final outcome WIN,
248,2026-07-15|awa fam|seattle storm @ chicago sky|pra|under|20.5||-130.0,2026-07-15,Awa Fam,Seattle Storm @ Chicago Sky,PRA,UNDER,20.5,LOSS,graded,final outcome LOSS,
249,2026-07-15|courtney vandersloot|seattle storm @ chicago sky|pts|under|8.5||-104.0,2026-07-15,Courtney Vandersloot,Seattle Storm @ Chicago Sky,PTS,UNDER,8.5,WIN,graded,final outcome WIN,
250,2026-07-15|natasha howard|los angeles sparks @ minnesota lynx|pts|under|16.5||-121.67,2026-07-15,Natasha Howard,Los Angeles Sparks @ Minnesota Lynx,PTS,UNDER,16.5,WIN,graded,final outcome WIN,
251,2026-07-15|gabby williams|golden state valkyries @ indiana fever|reb|under|3.5||-170.0,2026-07-15,Gabby Williams,Golden State Valkyries @ Indiana Fever,REB,UNDER,3.5,WIN,graded,final outcome WIN,
252,2026-07-15|natisha hiedeman|seattle storm @ chicago sky|pr|over|18.5||-120.0,2026-07-15,Natisha Hiedeman,Seattle Storm @ Chicago Sky,PR,OVER,18.5,LOSS,graded,final outcome LOSS,
253,2026-07-15|dominique malonga|seattle storm @ chicago sky|reb|under|9.5||-138.67,2026-07-15,Dominique Malonga,Seattle Storm @ Chicago Sky,REB,UNDER,9.5,LOSS,graded,final outcome LOSS,
254,2026-07-15|aliyah boston|golden state valkyries @ indiana fever|pr|over|24.5||-128.0,2026-07-15,Aliyah Boston,Golden State Valkyries @ Indiana Fever,PR,OVER,24.5,LOSS,graded,final outcome LOSS,
255,2026-07-15|veronica burton|golden state valkyries @ indiana fever|reb|under|3.5||-174.0,2026-07-15,Veronica Burton,Golden State Valkyries @ Indiana Fever,REB,UNDER,3.5,LOSS,graded,final outcome LOSS,
256,2026-07-15|rae burrell|los angeles sparks @ minnesota lynx|3pm|over|1.5||61.6,2026-07-15,Rae Burrell,Los Angeles Sparks @ Minnesota Lynx,3PM,OVER,1.5,WIN,graded,final outcome WIN,
257,2026-07-15|nneka ogwumike|los angeles sparks @ minnesota lynx|pts|over|17.5||-56.5,2026-07-15,Nneka Ogwumike,Los Angeles Sparks @ Minnesota Lynx,PTS,OVER,17.5,WIN,graded,final outcome WIN,
258,2026-07-15|nneka ogwumike|los angeles sparks @ minnesota lynx|pra|over|28.5||-126.0,2026-07-15,Nneka Ogwumike,Los Angeles Sparks @ Minnesota Lynx,PRA,OVER,28.5,WIN,graded,final outcome WIN,
259,2026-07-15|courtney williams|los angeles sparks @ minnesota lynx|ra|over|9.5||-106.5,2026-07-15,Courtney Williams,Los Angeles Sparks @ Minnesota Lynx,RA,OVER,9.5,LOSS,graded,final outcome LOSS,
260,2026-07-15|awa fam|seattle storm @ chicago sky|reb|under|5.5||-121.67,2026-07-15,Awa Fam,Seattle Storm @ Chicago Sky,REB,UNDER,5.5,LOSS,graded,final outcome LOSS,
261,2026-07-15|shakira austin|portland fire @ washington mystics|pra|under|27.5||-124.0,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,UNDER,27.5,LOSS,graded,final outcome LOSS,
262,2026-07-15|dominique malonga|seattle storm @ chicago sky|pr|under|26.5||-117.0,2026-07-15,Dominique Malonga,Seattle Storm @ Chicago Sky,PR,UNDER,26.5,LOSS,graded,final outcome LOSS,
